Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Joe Mixon,RB,0,0,2,151,6,1,30,0,0,0,0,0,0,0,0,0,0,0,39.1
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,DJ Chark,WR,0,0,0,0,8,2,95,0,0,0,0,0,0,0,0,0,0,0,25.5
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,Gardner Minshew II,QB,2,351,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.94
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Randy Bullock,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,17.0
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Joe Burrow,QB,1,300,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.1
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,Aldrick Rosas,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,15.0
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Tyler Boyd,WR,0,0,0,4,7,0,90,0,0,0,0,0,0,0,0,0,0,0,12.9
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,James Robinson,RB,0,0,0,75,4,0,32,0,0,0,0,0,0,0,0,0,0,0,12.7
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,Laviska Shenault Jr.,WR,0,0,0,5,5,0,86,0,0,0,0,0,0,0,0,0,0,0,11.6
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Tee Higgins,WR,0,0,0,13,4,0,77,0,0,0,0,0,0,0,0,0,0,0,11.0
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,Keelan Cole,WR,0,0,0,0,4,0,46,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Drew Sample,TE,0,0,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,Chris Conley,WR,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,Tyler Eifert,TE,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,4,Jacksonville JaguarsVCincinnati Bengals,JAX,James O'Shaughnessy,TE,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Cethan Carter,TE,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Alex Erickson,WR,0,0,0,7,1,0,9,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Auden Tate,WR,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Giovani Bernard,RB,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Mike Thomas,WR,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,A.J. Green,WR,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,4,Jacksonville JaguarsVCincinnati Bengals,CIN,Brandon Wilson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
