0,1,2,3,4
Kyler Murray,QB,23,"$8,080,601","$8,914,504"
Chase Edmonds,RB1,24,"$863,089","$728,090"
D.J. Foster,RB2,27,"$160,588","$910,000"
DeAndre Hopkins,WR1,28,"$7,000,000","$27,250,000"
Christian Kirk,WR2,24,"$1,607,691","$1,473,717"
Larry Fitzgerald,WR3,37,"$11,656,250","$11,500,000"
Andy Isabella,WR4,24,"$1,052,244","$1,157,469"
Darrell Daniels,TE1,26,"$825,000","$690,000"
Dan Arnold,TE2,25,"$750,000","$615,000"
D.J. Humphries,LT,27,"$5,740,000","$14,583,333"
Justin Pugh,LG,30,"$10,421,875","$8,955,000"
Mason Cole,C,24,"$977,629","$831,379"
Justin Murray,RG,27,"$1,083,333","$2,750,000"
Kelvin Beachum,RT,31,"$887,500","$1,187,500"
Leki Fotu,DE1,22,"$263,956","$1,017,118"
Jordan Phillips IR,DE2,28,"$4,000,000","$10,000,000"
Corey Peters IR,DT1,32,"$4,218,750","$4,000,000"
Markus Golden,LB1,29,"$3,651,319","$3,750,000"
De'Vondre Campbell,LB2,27,"$2,000,000","$6,000,000"
Jordan Hicks,LB3,29,"$10,500,000","$8,500,000"
Kylie Fitts IR,LB4,26,"$732,358","$615,000"
Budda Baker,S1,24,"$3,776,820","$14,750,000"
Jalen Thompson,S2,22,"$760,730","$715,730"
Patrick Peterson,CB1,30,"$13,184,588","$14,010,000"
DeVante Bausby,CB2,27,"$388,235","$825,000"
Andy Lee,P,38,"$2,000,000","$2,625,000"
Zane Gonzalez IR,K,25,"$3,259,000","$3,259,000"
Aaron Brewer,LS,30,"$1,168,750","$1,037,500"
Matt Ryan,QB,35,"$18,962,500","$30,000,000"
Todd Gurley,RB1,26,"$5,500,000","$5,500,000"
Brian Hill,RB2,25,"$2,133,000","$2,133,000"
Keith Smith,FB,28,"$1,276,666","$1,433,333"
Julio Jones,WR1,31,"$20,416,668","$22,000,000"
Russell Gage,WR2,24,"$789,048","$654,049"
Olamide Zaccheaus IR,WR3,23,"$603,138","$586,667"
Christian Blake,WR4,24,"$850,000","$540,000"
Hayden Hurst,TE1,27,"$1,483,275","$2,759,007"
Luke Stocker,TE2,32,"$750,000","$1,050,000"
Jake Matthews,LT,28,"$10,764,200","$14,500,000"
James Carpenter,LG,31,"$5,161,458","$5,250,000"
Alex Mack,C,35,"$10,550,000","$9,000,000"
Chris Lindstrom,RG,23,"$3,340,822","$3,681,822"
Kaleb McGary,RT,25,"$2,333,123","$2,566,436"
Allen Bailey,DE1,31,"$4,375,000","$4,500,000"
Steven Means,DE2,30,"$770,000","$930,000"
Grady Jarrett,DT1,27,"$12,334,000","$17,000,000"
Tyeler Davison,DT2,28,"$2,323,333","$4,000,000"
Foyesade Oluokun,LB1,25,"$786,657","$651,657"
Mykal Walker,LB2,23,"$796,520","$1,010,270"
Deion Jones,LB3,26,"$10,320,000","$14,250,000"
Ricardo Allen,S1,29,"$7,375,000","$6,500,000"
Keanu Neal,S2,25,"$6,466,000","$2,684,411"
A.J. Terrell,CB1,22,"$2,601,045","$3,576,437"
Darqueze Dennard,CB2,29,"$800,000","$1,010,000"
Sterling Hofrichter,P,24,"$634,435","$848,185"
Younghoe Koo,K,26,"$750,000","$750,000"
Josh Harris,LS,31,"$1,050,000","$1,045,000"
Lamar Jackson,QB,23,"$2,583,176","$2,367,912"
JK Dobbins,RB1,22,"$1,041,715","$1,432,359"
Gus Edwards,RB2,25,"$750,000","$750,000"
Patrick Ricard,FB,26,"$2,983,333","$3,651,084"
Marquise Brown,WR1,23,"$2,678,941","$2,946,835"
Willie Snead,WR2,28,"$5,412,059","$6,000,000"
Miles Boykin,WR3,24,"$889,232","$893,732"
Devin Duvernay,WR4,23,"$831,966","$1,143,953"
Mark Andrews,TE1,24,"$959,165","$863,290"
Nick Boyle IR,TE2,27,"$6,833,333","$6,000,000"
Orlando Brown Jr.,LT,24,"$966,430","$872,930"
Bradley Bozeman,LG,26,"$779,602","$644,602"
Matt Skura,C,27,"$2,133,000","$2,133,000"
Patrick Mekari,RG,23,"$677,666","$587,667"
D.J. Fluker,RT,29,"$775,000","$1,075,000"
Derek Wolfe,DE1,30,"$3,000,000","$3,000,000"
Calais Campbell,DE2,34,"$10,000,000","$12,500,000"
Brandon Williams,DT1,31,"$11,174,000","$10,500,000"
Yannick Ngakoue,LB1,25,"$5,176,470","$12,000,000"
Patrick Queen,LB2,21,"$2,211,213","$3,040,418"
Malik Harrison,LB3,22,"$818,074","$1,124,851"
Matt Judon,LB4,28,"$16,808,000","$16,808,000"
Deshon Elliott,S1,23,"$789,448","$654,449"
Chuck Clark,S2,25,"$3,418,705","$5,100,000"
Jimmy Smith,CB1,32,"$3,750,000","$3,500,000"
Marcus Peters,CB2,27,"$15,000,000","$14,000,000"
Sam Koch,P,38,"$2,150,000","$2,475,000"
Justin Tucker,K,31,"$5,100,000","$5,000,000"
Morgan Cox,LS,34,"$1,240,000","$1,120,000"
Josh Allen,QB,24,"$5,867,191","$5,360,759"
Devin Singletary,RB1,23,"$933,956","$974,500"
Zack Moss IR,RB2,23,"$838,604","$1,153,079"
Stefon Diggs,WR1,27,"$14,800,000","$14,400,000"
John Brown,WR2,30,"$9,531,250","$9,000,000"
Cole Beasley,WR3,31,"$7,068,750","$7,250,000"
