Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2018 Avg,2019 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Lamar Jackson,,,QB,BAL,vs NYJ,26th,30.50,17500,13.9,39.7,10.3,10.5,27.3,0,0,0,24.22,24.22,100,,46,1.4,37.08,2.1
Derrick Henry,,,RB,TEN,vs HOU,10th,26.75,16000,6.5,34,11.0,12,18.3,0,0,0,17.53,17.53,100,,18,1.1,8.60,0.5
Jimmy Garoppolo,,,QB,SF,vs ATL,20th,29.50,16000,10.9,31.9,8.4,17,17.2,0,0,0,19.31,19.31,100,,26,1.2,12.60,0.8
Drew Brees,,,QB,NO,vs IND,17th,29.25,16000,11.9,32.6,8.3,20.3,19.5,0,0,0,20.15,20.15,100,,57,1.3,28.28,1.8
Aaron Rodgers,,,QB,GB,vs CHI,1st,22.50,15500,9.7,31,8.5,19.7,18.4,0,0,0,18.23,18.23,100,,58,1.2,14.42,0.9
Josh Allen,,,QB,BUF,@ PIT,19th,18.00,15500,6.2,29.9,9.5,18.3,20,0,0,0,15.65,15.65,100,,52,1,17.36,1.1
Michael Thomas,,,WR,NO,vs IND,25th,29.25,15500,11,31,8.0,16,18.8,0,0,0,19.04,19.04,100,,42,1.2,24.80,1.6
Deshaun Watson,,,QB,HOU,@ TEN,24th,23.75,15000,12.7,36.7,9.6,20.5,23.3,0,0,0,22.28,22.28,100,,54,1.5,18.92,1.3
Ryan Tannehill,,,QB,TEN,vs HOU,32nd,26.75,15000,12.5,31.7,7.7,13.8,18.2,0,0,0,20.16,20.16,100,,54,1.3,25.16,1.7
Mitchell Trubisky,,,QB,CHI,@ GB,16th,18.50,15000,6.3,29.3,9.2,18.3,15,0,0,0,15.52,15.52,100,,34,1,18.26,1.2
Dalvin Cook,,,RB,MIN,@ LAC,19th,23.00,15000,7.5,31.2,9.5,12,20,0,0,0,16.98,16.98,100,,42,1.1,5.80,0.4
Kyler Murray,,,QB,ARI,vs CLE,23rd,23.00,15000,9.4,34.2,9.9,,19.4,0,0,0,19.34,19.34,100,,53,1.3,17.36,1.2
Baker Mayfield,,,QB,CLE,@ ARI,30th,26.00,15000,11,28.2,6.9,18.2,14.9,0,0,0,17.87,17.87,100,,56,1.2,17.98,1.2
Dak Prescott,,,QB,DAL,vs LAR,11th,24.75,15000,11.1,32.9,8.7,18,22.3,0,0,0,19.83,19.83,100,,53,1.3,17.68,1.2
Sam Darnold,,,QB,NYJ,@ BAL,2nd,13.50,14500,5.5,23.3,7.1,14.1,16.5,0,0,0,12.62,12.62,100,,47,0.9,16.82,1.2
