Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2018 Avg,2019 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Patrick Mahomes,,,QB,KC,vs IND,11th,32.75,17500,16.4,40.6,9.7,25.4,26.2,0,0,0,26.09,26.09,100,,55,1.5,18.54,1.1
Deshaun Watson,,,QB,HOU,vs ATL,19th,26.75,15500,12.4,36.4,9.6,20.5,20.5,0,0,0,22.03,22.03,100,,54,1.4,41.74,2.7
Dak Prescott,,,QB,DAL,vs GB,26th,25.25,15500,10.4,32.2,8.7,18,23.6,0,0,0,19.10,19.10,100,,53,1.2,26.22,1.7
Russell Wilson,,,QB,SEA,vs LAR,8th,25.00,15000,12.3,32.6,8.1,18.3,24.1,0,0,0,20.40,20.40,100,,59,1.4,29.92,2
Matt Ryan,,,QB,ATL,@ HOU,31st,22.75,15000,11,31,8.0,22.6,20.5,0,0,0,18.95,18.95,100,,55,1.3,32.90,2.2
Philip Rivers,,,QB,LAC,vs DEN,6th,25.00,15000,11.7,27.2,6.2,18.4,19.2,0,0,0,17.89,17.89,100,,63,1.2,6.14,0.4
Nick Chubb,,,RB,CLE,@ SF,5th,21.75,15000,6.9,28.6,8.7,11.5,20.2,0,0,0,15.57,15.57,100,,35,1,10.40,0.7
Jared Goff,,,QB,LAR,@ SEA,24th,24.00,14500,9.6,30.4,8.3,18.7,17.3,0,0,0,17.92,17.92,100,,48,1.2,18.90,1.3
DeAndre Hopkins,,,WR,HOU,vs ATL,27th,26.75,14500,9.1,27.1,7.2,16.6,12.2,0,0,0,16.34,16.34,100,,51,1.1,12.30,0.8
Keenan Allen,,,WR,LAC,vs DEN,5th,25.00,14500,9,28.2,7.7,13.9,20.1,0,0,0,16.69,16.69,100,,43,1.2,3.80,0.3
Aaron Rodgers,,,QB,GB,@ DAL,10th,21.25,14500,9.7,30.9,8.5,19.7,16.8,0,0,0,18.18,18.18,100,,58,1.3,9.42,0.6
Jacoby Brissett,,,QB,IND,@ KC,30th,22.75,14500,10.2,31.4,8.5,-0.2,19.5,0,0,0,18.69,18.69,100,,8,1.3,11.94,0.8
Baker Mayfield,,,QB,CLE,@ SF,25th,21.75,14500,9.4,26.7,6.9,18.2,14,0,0,0,16.34,16.34,100,,56,1.1,0.00,
Julio Jones,,,WR,ATL,@ HOU,30th,22.75,14000,8.2,30,8.7,16.8,16.8,0,0,0,16.92,16.92,100,,44,1.2,5.70,0.4
Austin Ekeler,,,RB,LAC,vs DEN,28th,25.00,14000,6.7,25.9,7.7,10,23.8,0,0,0,14.37,14.37,100,,32,1,14.80,1.1
Ezekiel Elliott,,,RB,DAL,vs GB,30th,25.25,14000,9.9,30.1,8.1,18.5,15.1,0,0,0,17.96,17.96,100,,53,1.3,16.10,1.2
Jimmy Garoppolo,,,QB,SF,vs CLE,14th,25.75,14000,9,30,8.4,17,15.5,0,0,0,17.35,17.35,100,,26,1.2,14.94,1.1
Robert Woods,,,WR,LAR,@ SEA,18th,24.00,13500,5.2,22.2,6.8,13.1,12,0,0,0,12.00,12.00,100,,36,0.9,7.30,0.5
Davante Adams,,,WR,GB,@ DAL,13th,21.25,13500,0,12.9,8.6,17.5,12.6,0,0,0,0.00,0.00,100,,39,0,,
Odell Beckham Jr.,,,WR,CLE,@ SF,28th,21.75,13500,6.1,26.9,8.3,16,11.8,0,0,0,14.40,14.40,100,,42,1.1,4.00,0.3
Cooper Kupp,,,WR,LAR,@ SEA,18th,24.00,13000,6.2,25,7.5,14.4,18.3,0,0,0,13.74,13.74,100,,40,1.1,22.20,1.7
Melvin Gordon,,,RB,LAC,vs DEN,28th,25.00,13000,2.2,22.9,8.3,18.1,,0,0,0,10.45,10.45,100,,39,0.8,5.80,0.4
Joe Flacco,,,QB,DEN,@ LAC,17th,20.00,13000,7.5,24,6.6,15.9,15.1,0,0,0,14.07,14.07,100,,52,1.1,8.98,0.7
Amari Cooper,,,WR,DAL,vs GB,19th,25.25,13000,5,27.7,9.1,11.7,15.8,0,0,0,14.07,14.07,100,,20,1.1,34.10,2.6
Travis Kelce,,,TE,KC,vs IND,32nd,32.75,13000,8.7,27.4,7.5,14.8,13.7,0,0,0,16.17,16.17,100,,41,1.2,9.00,0.7
Austin Hooper,,,TE,ATL,@ HOU,17th,22.75,12500,3.8,17,5.3,8,14.2,0,0,0,9.09,9.09,100,,22,0.7,10.60,0.8
Aaron Jones,,,RB,GB,@ DAL,12th,21.25,12500,2.6,29.1,10.6,13.2,14.3,0,0,0,13.16,13.16,100,,25,1.1,45.70,3.7
T.Y. Hilton,,,WR,IND,@ KC,31st,22.75,12500,0,17.7,7.8,14.1,17.8,0,0,0,6.03,6.03,100,,28,0.5,5.70,0.5
Chris Carson,,,RB,SEA,vs LAR,23rd,25.00,12000,7.6,23.8,6.5,13.1,12.3,0,0,0,14.08,14.08,100,,47,1.2,18.80,1.6
Brandin Cooks,,,WR,LAR,@ SEA,18th,24.00,12000,3.7,23.2,7.8,13.5,11.5,0,0,0,11.52,11.52,100,,33,1,6.10,0.5
Courtland Sutton,,,WR,DEN,@ LAC,10th,20.00,12000,4.2,17.9,5.5,7.2,13.5,0,0,0,9.66,9.66,100,,38,0.8,17.20,1.4
Jarvis Landry,,,WR,CLE,@ SF,28th,21.75,12000,4.2,19.7,6.2,10.4,10.7,0,0,0,10.43,10.43,100,,46,0.9,9.50,0.8
Todd Gurley,,,RB,LAR,@ SEA,3rd,24.00,11500,2.7,26.2,9.4,21.9,12.9,0,0,0,12.11,12.11,100,,40,1.1,17.20,1.5
Devonta Freeman,,,RB,ATL,@ HOU,2nd,22.75,11500,2,24.3,8.9,5.8,8.9,0,0,0,10.92,10.92,100,,35,0.9,15.50,1.3
