Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2018 Avg,2019 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Lamar Jackson,,,QB,BAL,@ LAR,17th,24.75,17500,13.9,39.7,10.3,10.5,27.6,0,0,0,24.21,24.21,100,,46,1.4,36.26,2.1
Deshaun Watson,,,QB,HOU,vs IND,10th,24.50,16000,12.9,36.9,9.6,20.5,22.5,0,0,0,22.51,22.51,100,,54,1.4,19.92,1.2
Russell Wilson,,,QB,SEA,@ PHI,4th,23.25,16000,11.9,32.2,8.1,18.3,24.3,0,0,0,20.00,20.00,100,,59,1.3,10.50,0.7
Derrick Henry,,,RB,TEN,vs JAC,23rd,23.25,16000,4.4,31.9,11.0,12,16.4,0,0,0,15.38,15.38,100,,18,1,28.00,1.8
Aaron Rodgers,,,QB,GB,@ SF,2nd,22.50,16000,10.7,32,8.5,19.7,19,0,0,0,19.24,19.24,100,,58,1.2,9.46,0.6
Matt Ryan,,,QB,ATL,vs TB,32nd,27.00,15500,14.2,34.2,8.0,22.6,20.1,0,0,0,22.16,22.16,100,,55,1.4,8.64,0.6
Dak Prescott,,,QB,DAL,@ NE,1st,19.50,15500,9.1,30.8,8.7,18,24.1,0,0,0,17.77,17.77,100,,53,1.1,7.88,0.5
Jimmy Garoppolo,,,QB,SF,vs GB,18th,25.50,15500,9.2,30.2,8.4,17,16.7,0,0,0,17.64,17.64,100,,26,1.1,18.22,1.2
Jacoby Brissett,,,QB,IND,@ HOU,28th,21.50,15000,8.2,29.4,8.5,-0.2,16.2,0,0,0,16.68,16.68,100,,8,1.1,13.16,0.9
Jameis Winston,,,QB,TB,@ ATL,27th,24.00,15000,11.8,31.5,7.9,19.1,19.5,0,0,0,19.65,19.65,100,,52,1.3,26.32,1.8
Ryan Tannehill,,,QB,TEN,vs JAC,19th,23.25,15000,9,28.3,7.7,13.8,14.8,0,0,0,16.74,16.74,100,,54,1.1,32.36,2.2
DeAndre Hopkins,,,WR,HOU,vs IND,11th,24.50,14500,9.7,27.7,7.2,16.6,13.8,0,0,0,16.87,16.87,100,,51,1.2,24.40,1.7
Ezekiel Elliott,,,RB,DAL,@ NE,13th,19.50,14500,7.4,27.6,8.1,18.5,16.3,0,0,0,15.48,15.48,100,,53,1.1,14.60,1
Tom Brady,,,QB,NE,vs DAL,7th,24.50,14500,11.1,30.4,7.7,17.6,17.7,0,0,0,18.82,18.82,100,,60,1.3,11.30,0.8
Aaron Jones,,,RB,GB,@ SF,14th,22.50,14500,4.6,31.1,10.6,13.2,19.4,0,0,0,15.19,15.19,100,,25,1,3.80,0.3
Jared Goff,,,QB,LAR,vs BAL,13th,21.75,14500,7.4,28.1,8.3,18.7,14.9,0,0,0,15.66,15.66,100,,48,1.1,6.38,0.4
Carson Wentz,,,QB,PHI,vs SEA,12th,22.25,14000,11.5,28,6.6,18.2,16.9,0,0,0,18.05,18.05,100,,62,1.3,10.94,0.8
Chris Carson,,,RB,SEA,@ PHI,12th,23.25,14000,7.7,23.9,6.5,13.1,14.6,0,0,0,14.19,14.19,100,,47,1,7.70,0.6
Julio Jones,,,WR,ATL,vs TB,32nd,27.00,14000,10.7,32.5,8.7,16.8,14.1,0,0,0,19.42,19.42,100,,44,1.4,9.30,0.7
Nick Foles,,,QB,JAC,@ TEN,21st,19.25,14000,6.8,28,8.5,16.1,12.9,0,0,0,15.29,15.29,100,,23,1.1,14.88,1.1
Davante Adams,,,WR,GB,@ SF,6th,22.50,14000,5.6,27.1,8.6,17.5,12.2,0,0,0,14.18,14.18,100,,39,1,15.80,1.1
Mark Ingram,,,RB,BAL,@ LAR,5th,24.75,14000,4.4,24.2,7.9,10.3,14.9,0,0,0,12.34,12.34,100,,34,0.9,24.30,1.7
Tyler Lockett,,,WR,SEA,@ PHI,12th,23.25,13500,4.8,25.5,8.3,12.2,14.6,0,0,0,13.05,13.05,100,,19,1,4.30,0.3
Mike Evans,,,WR,TB,@ ATL,30th,24.00,13500,6.8,27.3,8.2,14.2,17.2,0,0,0,15.02,15.02,100,,37,1.1,7.00,0.5
Leonard Fournette,,,RB,JAC,@ TEN,7th,19.25,13500,8.7,27.9,7.7,13.7,14.6,0,0,0,16.35,16.35,100,,42,1.2,32.40,2.4
Amari Cooper,,,WR,DAL,@ NE,1st,19.50,13500,3.3,26.1,9.1,11.7,15.9,0,0,0,12.44,12.44,100,,20,0.9,0.00,
Todd Gurley,,,RB,LAR,vs BAL,20th,21.75,13500,3,26.5,9.4,21.9,13,0,0,0,12.42,12.42,100,,40,0.9,3.40,0.3
Carlos Hyde,,,RB,HOU,vs IND,8th,24.50,13000,4.3,21.6,6.9,6.7,10.2,0,0,0,11.22,11.22,100,,26,0.9,6.70,0.5
Chris Godwin,,,WR,TB,@ ATL,30th,24.00,13000,5.9,25.6,7.9,9.7,16.5,0,0,0,13.76,13.76,100,,25,1.1,33.90,2.6
