Name1,Name2,Name3,Name4,Name5,Salary,FPPG
Dak Prescott,Tom Brady,Leonard Fournette,Ronald Jones II,Tony Pollard,59500,97.74844105290431
Dak Prescott,Tom Brady,Mike Evans,Michael Gallup,O.J. Howard,60000,97.7204994837443
Dak Prescott,Tom Brady,Leonard Fournette,Greg Zuerlein,O.J. Howard,57000,97.7079994837443
Tom Brady,Dak Prescott,Leonard Fournette,CeeDee Lamb,Rob Gronkowski,60000,97.667249806722
Dak Prescott,Tom Brady,Chris Godwin,Antonio Brown,Dalton Schultz,59500,97.6642499923706
Tom Brady,Dak Prescott,Leonard Fournette,Ronald Jones II,O.J. Howard,58500,97.66144046035467
Dak Prescott,Tom Brady,Chris Godwin,Greg Zuerlein,Rob Gronkowski,59500,97.65425001780191
Dak Prescott,Tom Brady,Amari Cooper,Greg Zuerlein,O.J. Howard,58000,97.6454994837443
Dak Prescott,Tom Brady,Ronald Jones II,Michael Gallup,Greg Zuerlein,58000,97.63594086216945
Tom Brady,Dak Prescott,CeeDee Lamb,Antonio Brown,Greg Zuerlein,58500,97.62724959055582
Tom Brady,Dak Prescott,Amari Cooper,Ronald Jones II,O.J. Howard,59500,97.59894046035467
Tom Brady,Dak Prescott,Leonard Fournette,Ryan Succop,Greg Zuerlein,59000,97.59599984486897
Dak Prescott,Tom Brady,CeeDee Lamb,Ronald Jones II,Dalton Schultz,57500,97.56719048069972
Tom Brady,Dak Prescott,Amari Cooper,Ryan Succop,Greg Zuerlein,60000,97.53349984486897
Dak Prescott,Tom Brady,CeeDee Lamb,Antonio Brown,O.J. Howard,57000,97.52674922943115
Dak Prescott,Tom Brady,Leonard Fournette,Ryan Succop,O.J. Howard,57500,97.4954994837443
Tom Brady,Dak Prescott,Ezekiel Elliott,Greg Zuerlein,O.J. Howard,60000,97.46349906921387
Dak Prescott,Tom Brady,Mike Evans,Greg Zuerlein,Dalton Schultz,59000,97.45799967447917
Dak Prescott,Tom Brady,Chris Godwin,Ryan Succop,Rob Gronkowski,60000,97.44175001780191
Dak Prescott,Tom Brady,Amari Cooper,Ryan Succop,O.J. Howard,58500,97.4329994837443
Dak Prescott,Tom Brady,Ronald Jones II,Michael Gallup,Ryan Succop,58500,97.42344086216944
Tom Brady,Dak Prescott,CeeDee Lamb,Antonio Brown,Ryan Succop,59000,97.41474959055581
Dak Prescott,Tom Brady,Chris Godwin,Michael Gallup,O.J. Howard,59500,97.41424967447917
Dak Prescott,Tom Brady,Leonard Fournette,Antonio Brown,Dalton Schultz,58000,97.3829999923706
Dak Prescott,Tom Brady,Leonard Fournette,Greg Zuerlein,Rob Gronkowski,58000,97.37300001780191
Tom Brady,Dak Prescott,Mike Evans,Antonio Brown,O.J. Howard,60000,97.37099939982096
Tom Brady,Dak Prescott,Leonard Fournette,Ronald Jones II,Rob Gronkowski,59500,97.32644099441228
Dak Prescott,Tom Brady,Amari Cooper,Antonio Brown,Dalton Schultz,59000,97.3204999923706
Dak Prescott,Tom Brady,Amari Cooper,Greg Zuerlein,Rob Gronkowski,59000,97.31050001780191
Tom Brady,Dak Prescott,Ronald Jones II,Antonio Brown,Greg Zuerlein,58000,97.2864407782461
Dak Prescott,Tom Brady,Mike Evans,Ryan Succop,Dalton Schultz,59500,97.24549967447916
Tom Brady,Dak Prescott,Leonard Fournette,Michael Gallup,Greg Zuerlein,59500,97.23350003560384
Dak Prescott,Tom Brady,CeeDee Lamb,Antonio Brown,Rob Gronkowski,58000,97.19174976348876
Dak Prescott,Tom Brady,Ronald Jones II,Antonio Brown,O.J. Howard,56500,97.18594041712143
Tom Brady,Dak Prescott,Leonard Fournette,CeeDee Lamb,Dalton Schultz,59000,97.16474965413411
Dak Prescott,Tom Brady,Leonard Fournette,Ryan Succop,Rob Gronkowski,58500,97.16050001780191
Dak Prescott,Tom Brady,Chris Godwin,Greg Zuerlein,Dalton Schultz,58500,97.15174986521403
Dak Prescott,Tom Brady,Leonard Fournette,Michael Gallup,O.J. Howard,58000,97.13299967447917
Dak Prescott,Tom Brady,Antonio Brown,Ryan Succop,Greg Zuerlein,57000,97.12049980163573
Tom Brady,Dak Prescott,Chris Godwin,Ronald Jones II,Dalton Schultz,60000,97.1051908418244
Tom Brady,Dak Prescott,Amari Cooper,CeeDee Lamb,Dalton Schultz,60000,97.10224965413411
Dak Prescott,Tom Brady,Amari Cooper,Ryan Succop,Rob Gronkowski,59500,97.09800001780191
Tom Brady,Dak Prescott,Ronald Jones II,Antonio Brown,Ryan Succop,58500,97.0739407782461
Dak Prescott,Tom Brady,Amari Cooper,Michael Gallup,O.J. Howard,59000,97.07049967447917
Tom Brady,Dak Prescott,Chris Godwin,Antonio Brown,O.J. Howard,59500,97.06474959055582
Dak Prescott,Tom Brady,CeeDee Lamb,Ronald Jones II,Tony Pollard,58500,97.05469067143459
Tom Brady,Dak Prescott,CeeDee Lamb,Michael Gallup,Antonio Brown,59500,97.05224978129068
Dak Prescott,Tom Brady,Ezekiel Elliott,Rob Gronkowski,O.J. Howard,59500,97.0279992421468
Tom Brady,Dak Prescott,Leonard Fournette,Michael Gallup,Ryan Succop,60000,97.02100003560383
Dak Prescott,Tom Brady,CeeDee Lamb,Greg Zuerlein,O.J. Howard,56000,97.01424910227458
Tom Brady,Dak Prescott,CeeDee Lamb,Ronald Jones II,O.J. Howard,57500,96.96769007888494
Dak Prescott,Tom Brady,Mike Evans,Greg Zuerlein,Tony Pollard,60000,96.94549986521403
Dak Prescott,Tom Brady,Chris Godwin,Ryan Succop,Dalton Schultz,59000,96.93924986521402
Tom Brady,Dak Prescott,CeeDee Lamb,Ryan Succop,Greg Zuerlein,58000,96.90224946339924
Dak Prescott,Tom Brady,Mike Evans,Michael Gallup,Dalton Schultz,60000,96.88299986521403
Dak Prescott,Tom Brady,Leonard Fournette,Antonio Brown,Tony Pollard,59000,96.87050018310546
Dak Prescott,Tom Brady,Leonard Fournette,Greg Zuerlein,Dalton Schultz,57000,96.87049986521403
Tom Brady,Dak Prescott,Mike Evans,Greg Zuerlein,O.J. Howard,59000,96.85849927266439
Dak Prescott,Tom Brady,Ronald Jones II,Antonio Brown,Rob Gronkowski,57500,96.85094095117904
Tom Brady,Dak Prescott,Leonard Fournette,Ronald Jones II,Dalton Schultz,58500,96.8239408418244
Dak Prescott,Tom Brady,Amari Cooper,Antonio Brown,Tony Pollard,60000,96.80800018310546
Dak Prescott,Tom Brady,Amari Cooper,Greg Zuerlein,Dalton Schultz,58000,96.80799986521403
Dak Prescott,Tom Brady,CeeDee Lamb,Ryan Succop,O.J. Howard,56500,96.80174910227457
Dak Prescott,Tom Brady,Leonard Fournette,Michael Gallup,Rob Gronkowski,59000,96.79800020853678
Tom Brady,Dak Prescott,Leonard Fournette,Antonio Brown,O.J. Howard,58000,96.78349959055582
Tom Brady,Dak Prescott,Amari Cooper,Ronald Jones II,Dalton Schultz,59500,96.7614408418244
Dak Prescott,Tom Brady,Michael Gallup,Antonio Brown,Greg Zuerlein,57500,96.7579999923706
Dak Prescott,Tom Brady,Amari Cooper,Michael Gallup,Rob Gronkowski,60000,96.73550020853678
Tom Brady,Dak Prescott,Amari Cooper,Antonio Brown,O.J. Howard,59000,96.72099959055582
Tom Brady,Dak Prescott,Ronald Jones II,Michael Gallup,Antonio Brown,59000,96.71144096898097
Dak Prescott,Tom Brady,CeeDee Lamb,Antonio Brown,Dalton Schultz,57000,96.68924961090087
Dak Prescott,Tom Brady,CeeDee Lamb,Greg Zuerlein,Rob Gronkowski,57000,96.67924963633219
Dak Prescott,Tom Brady,Ronald Jones II,Greg Zuerlein,O.J. Howard,55500,96.67344028996486
Dak Prescott,Tom Brady,Leonard Fournette,Ryan Succop,Dalton Schultz,57500,96.65799986521402
Tom Brady,Dak Prescott,Leonard Fournette,CeeDee Lamb,Tony Pollard,60000,96.65224984486898
Tom Brady,Dak Prescott,Mike Evans,Ryan Succop,O.J. Howard,59500,96.64599927266438
Dak Prescott,Tom Brady,Chris Godwin,Greg Zuerlein,Tony Pollard,59500,96.63925005594889
Tom Brady,Dak Prescott,CeeDee Lamb,Ronald Jones II,Rob Gronkowski,58500,96.63269061294255
Tom Brady,Dak Prescott,Ezekiel Elliott,Greg Zuerlein,Dalton Schultz,60000,96.6259994506836
Dak Prescott,Tom Brady,Amari Cooper,Ryan Succop,Dalton Schultz,58500,96.59549986521402
Dak Prescott,Tom Brady,Chris Godwin,Michael Gallup,Dalton Schultz,59500,96.57675005594889
Tom Brady,Dak Prescott,Ronald Jones II,Ryan Succop,Greg Zuerlein,57500,96.56144065108953
Tom Brady,Dak Prescott,Chris Godwin,Greg Zuerlein,O.J. Howard,58500,96.55224946339925
Dak Prescott,Tom Brady,Michael Gallup,Antonio Brown,Ryan Succop,58000,96.5454999923706
Tom Brady,Dak Prescott,CeeDee Lamb,Michael Gallup,Greg Zuerlein,58500,96.53974965413411
Tom Brady,Dak Prescott,Mike Evans,Antonio Brown,Dalton Schultz,60000,96.53349978129069
Dak Prescott,Tom Brady,Ezekiel Elliott,Dalton Schultz,O.J. Howard,58500,96.52549908955892
Tom Brady,Dak Prescott,Mike Evans,Greg Zuerlein,Rob Gronkowski,60000,96.523499806722
Dak Prescott,Tom Brady,CeeDee Lamb,Ryan Succop,Rob Gronkowski,57500,96.46674963633218
Dak Prescott,Tom Brady,Ronald Jones II,Ryan Succop,O.J. Howard,56000,96.46094028996485
Tom Brady,Dak Prescott,Leonard Fournette,Antonio Brown,Rob Gronkowski,59000,96.44850012461343
Dak Prescott,Tom Brady,CeeDee Lamb,Michael Gallup,O.J. Howard,57000,96.43924929300944
Dak Prescott,Tom Brady,Chris Godwin,Ryan Succop,Tony Pollard,60000,96.42675005594889
Dak Prescott,Tom Brady,Mike Evans,Rob Gronkowski,O.J. Howard,58500,96.42299944559733
Tom Brady,Dak Prescott,Amari Cooper,Antonio Brown,Rob Gronkowski,60000,96.38600012461343
Dak Prescott,Tom Brady,Leonard Fournette,Greg Zuerlein,Tony Pollard,58000,96.35800005594889
Dak Prescott,Tom Brady,Ronald Jones II,Antonio Brown,Dalton Schultz,56500,96.34844079859116
Tom Brady,Dak Prescott,Chris Godwin,Ryan Succop,O.J. Howard,59000,96.33974946339924
Dak Prescott,Tom Brady,Ronald Jones II,Greg Zuerlein,Rob Gronkowski,56500,96.33844082402247
Tom Brady,Dak Prescott,CeeDee Lamb,Michael Gallup,Ryan Succop,59000,96.3272496541341
Tom Brady,Dak Prescott,Leonard Fournette,Ronald Jones II,Tony Pollard,59500,96.31144103255926
Dak Prescott,Tom Brady,Amari Cooper,Greg Zuerlein,Tony Pollard,59000,96.29550005594889
Dak Prescott,Tom Brady,Leonard Fournette,Michael Gallup,Dalton Schultz,58000,96.29550005594889
Tom Brady,Dak Prescott,Mike Evans,Michael Gallup,O.J. Howard,60000,96.28349946339925
Tom Brady,Dak Prescott,Leonard Fournette,Greg Zuerlein,O.J. Howard,57000,96.27099946339925
Dak Prescott,Tom Brady,Amari Cooper,Michael Gallup,Dalton Schultz,59000,96.23300005594889
Tom Brady,Dak Prescott,Chris Godwin,Antonio Brown,Dalton Schultz,59500,96.22724997202555
Tom Brady,Dak Prescott,Chris Godwin,Greg Zuerlein,Rob Gronkowski,59500,96.21724999745686
Tom Brady,Dak Prescott,Amari Cooper,Greg Zuerlein,O.J. Howard,58000,96.20849946339925
Tom Brady,Dak Prescott,Ronald Jones II,Michael Gallup,Greg Zuerlein,58000,96.1989408418244
Dak Prescott,Tom Brady,Ezekiel Elliott,Rob Gronkowski,Dalton Schultz,59500,96.19049962361653
Dak Prescott,Tom Brady,CeeDee Lamb,Antonio Brown,Tony Pollard,58000,96.17674980163574
Dak Prescott,Tom Brady,CeeDee Lamb,Greg Zuerlein,Dalton Schultz,56000,96.1767494837443
Dak Prescott,Tom Brady,Leonard Fournette,Ryan Succop,Tony Pollard,58500,96.14550005594889
Tom Brady,Dak Prescott,CeeDee Lamb,Ronald Jones II,Dalton Schultz,57500,96.13019046035467
Dak Prescott,Tom Brady,Ronald Jones II,Ryan Succop,Rob Gronkowski,57000,96.12594082402246
Dak Prescott,Tom Brady,Chris Godwin,Rob Gronkowski,O.J. Howard,58000,96.11674963633219
Dak Prescott,Tom Brady,CeeDee Lamb,Michael Gallup,Rob Gronkowski,58000,96.10424982706705
Dak Prescott,Tom Brady,Ronald Jones II,Michael Gallup,O.J. Howard,56500,96.09844048069972
Tom Brady,Dak Prescott,CeeDee Lamb,Antonio Brown,O.J. Howard,57000,96.0897492090861
Dak Prescott,Tom Brady,Amari Cooper,Ryan Succop,Tony Pollard,59500,96.08300005594889
Tom Brady,Dak Prescott,Leonard Fournette,Ryan Succop,O.J. Howard,57500,96.05849946339924
Dak Prescott,Tom Brady,Michael Gallup,Ryan Succop,Greg Zuerlein,57000,96.03299986521402
Tom Brady,Dak Prescott,Mike Evans,Greg Zuerlein,Dalton Schultz,59000,96.02099965413412
Dak Prescott,Tom Brady,Ezekiel Elliott,Tony Pollard,O.J. Howard,59500,96.01299928029378
Tom Brady,Dak Prescott,Chris Godwin,Ryan Succop,Rob Gronkowski,60000,96.00474999745686
Tom Brady,Dak Prescott,Amari Cooper,Ryan Succop,O.J. Howard,58500,95.99599946339924
Tom Brady,Dak Prescott,Ronald Jones II,Michael Gallup,Ryan Succop,58500,95.98644084182439
Tom Brady,Dak Prescott,Chris Godwin,Michael Gallup,O.J. Howard,59500,95.97724965413411
Dak Prescott,Tom Brady,CeeDee Lamb,Ryan Succop,Dalton Schultz,56500,95.9642494837443
Tom Brady,Dak Prescott,Leonard Fournette,Antonio Brown,Dalton Schultz,58000,95.94599997202555
Tom Brady,Dak Prescott,Leonard Fournette,Greg Zuerlein,Rob Gronkowski,58000,95.93599999745686
Dak Prescott,Tom Brady,Mike Evans,Dalton Schultz,O.J. Howard,57500,95.92049929300944
Tom Brady,Dak Prescott,Amari Cooper,Antonio Brown,Dalton Schultz,59000,95.88349997202555
Tom Brady,Dak Prescott,Amari Cooper,Greg Zuerlein,Rob Gronkowski,59000,95.87349999745686
Dak Prescott,Tom Brady,Ronald Jones II,Antonio Brown,Tony Pollard,57500,95.83594098932602
Dak Prescott,Tom Brady,Ronald Jones II,Greg Zuerlein,Dalton Schultz,55500,95.83594067143459
Dak Prescott,Tom Brady,Leonard Fournette,Rob Gronkowski,O.J. Howard,56500,95.83549963633219
Tom Brady,Dak Prescott,Mike Evans,Ryan Succop,Dalton Schultz,59500,95.80849965413411
Dak Prescott,Tom Brady,Antonio Brown,Greg Zuerlein,O.J. Howard,55000,95.79549942016601
Dak Prescott,Tom Brady,Leonard Fournette,Michael Gallup,Tony Pollard,59000,95.78300024668376
Dak Prescott,Tom Brady,Amari Cooper,Rob Gronkowski,O.J. Howard,57500,95.77299963633219
Dak Prescott,Tom Brady,Ronald Jones II,Michael Gallup,Rob Gronkowski,57500,95.76344101475733
Tom Brady,Dak Prescott,CeeDee Lamb,Antonio Brown,Rob Gronkowski,58000,95.7547497431437
Tom Brady,Dak Prescott,Ronald Jones II,Antonio Brown,O.J. Howard,56500,95.74894039677638
Tom Brady,Dak Prescott,Leonard Fournette,Ryan Succop,Rob Gronkowski,58500,95.72349999745686
Dak Prescott,Tom Brady,Amari Cooper,Michael Gallup,Tony Pollard,60000,95.72050024668376
Tom Brady,Dak Prescott,Chris Godwin,Greg Zuerlein,Dalton Schultz,58500,95.71474984486898
Tom Brady,Dak Prescott,Leonard Fournette,Michael Gallup,O.J. Howard,58000,95.69599965413411
Tom Brady,Dak Prescott,Antonio Brown,Ryan Succop,Greg Zuerlein,57000,95.68349978129068
Dak Prescott,Tom Brady,CeeDee Lamb,Greg Zuerlein,Tony Pollard,57000,95.66424967447917
Tom Brady,Dak Prescott,Amari Cooper,Ryan Succop,Rob Gronkowski,59500,95.66099999745686
Tom Brady,Dak Prescott,Amari Cooper,Michael Gallup,O.J. Howard,59000,95.63349965413411
Dak Prescott,Tom Brady,Ronald Jones II,Ryan Succop,Dalton Schultz,56000,95.62344067143458
