Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2019 Avg,2020 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Lamar Jackson,,,QB,BAL,vs JAC,19th,30.50,17000,11.4,37.2,10.3,27.4,22.1,0,0,0,21.73,21.73,100,,46,1.3,30.22,1.8
Josh Allen,,,QB,BUF,@ DEN,1st,27.00,16500,13.7,37.5,9.5,19,24.3,0,0,0,23.23,23.23,100,,52,1.4,37.66,2.3
Deshaun Watson,,,QB,HOU,@ IND,10th,22.50,16500,10.6,34.6,9.6,22.4,23,0,0,0,20.18,20.18,100,,54,1.2,23.42,1.4
Russell Wilson,,,QB,SEA,@ WAS,8th,25.00,16500,12.4,32.6,8.1,20.2,24.7,0,0,0,20.49,20.49,100,,59,1.2,13.04,0.8
Patrick Mahomes,,,QB,KC,@ NO,2nd,27.75,16500,13.4,37.7,9.7,23,25.7,0,0,0,23.10,23.10,100,,55,1.4,25.86,1.6
Justin Herbert,,,QB,LAC,@ LV,18th,24.75,16000,12.8,31.6,7.5,,22.1,0,0,0,20.30,20.30,100,,66,1.3,27.96,1.7
Aaron Rodgers,,,QB,GB,vs CAR,25th,31.00,16000,13.1,34.3,8.5,17.7,24.4,0,0,0,21.58,21.58,100,,58,1.3,18.32,1.1
Tom Brady,,,QB,TB,@ ATL,14th,27.75,16000,12.7,32,7.7,16.4,20.4,0,0,0,20.41,20.41,100,,60,1.3,23.40,1.5
Cam Newton,,,QB,NE,@ MIA,7th,20.50,16000,7.1,30.6,9.4,8.8,17.5,0,0,0,16.52,16.52,100,,51,1,12.16,0.8
Dalvin Cook,,,RB,MIN,vs CHI,12th,25.00,16000,9.7,33.4,9.5,17.6,23,0,0,0,19.18,19.18,100,,42,1.2,24.40,1.5
Derrick Henry,,,RB,TEN,vs DET,29th,31.00,16000,8.3,35.8,11.0,18.7,19.6,0,0,0,19.32,19.32,100,,18,1.2,24.20,1.5
Jared Goff,,,QB,LAR,vs NYJ,32nd,30.75,16000,11.4,32.1,8.3,16.5,17.4,0,0,0,19.66,19.66,100,,48,1.2,16.26,1
Kyler Murray,,,QB,ARI,vs PHI,9th,27.75,16000,13.7,38.4,9.9,18.6,25.9,0,0,0,23.59,23.59,100,,53,1.5,34.14,2.1
Baker Mayfield,,,QB,CLE,@ NYG,16th,25.25,16000,9,26.3,6.9,15.6,16.2,0,0,0,15.90,15.90,100,,56,1,20.98,1.3
Ben Roethlisberger,,,QB,PIT,@ CIN,31st,27.25,16000,10.5,30.7,8.1,6.9,18.8,0,0,0,18.57,18.57,100,,57,1.2,7.70,0.5
Christian McCaffrey,,,RB,CAR,@ GB,17th,22.00,15500,0,14.9,9.9,25.8,27.3,0,0,0,0.00,0.00,100,,47,0,,
Matt Ryan,,,QB,ATL,vs TB,28th,21.75,15500,9.5,29.5,8.0,18.8,17.2,0,0,0,17.51,17.51,100,,55,1.1,27.84,1.8
Philip Rivers,,,QB,IND,vs HOU,29th,29.50,15500,12,27.5,6.2,16,16.2,0,0,0,18.16,18.16,100,,63,1.2,17.02,1.1
Tua Tagovailoa,,,QB,MIA,vs NE,4th,19.50,15500,8,28.3,8.1,,13.4,0,0,0,16.12,16.12,100,,35,1,19.70,1.3
Ezekiel Elliott,,,RB,DAL,vs SF,4th,21.25,15500,0,12.2,8.1,16.9,12.9,0,0,0,0.00,0.00,100,,53,0,,
Kirk Cousins,,,QB,MIN,vs CHI,15th,25.00,15500,9.8,29.8,8.0,15.9,18.5,0,0,0,17.80,17.80,100,,54,1.1,20.34,1.3
Ryan Tannehill,,,QB,TEN,vs DET,24th,31.00,15500,12,31.3,7.7,17.4,20.5,0,0,0,19.72,19.72,100,,54,1.3,37.02,2.4
Matthew Stafford,,,QB,DET,@ TEN,30th,23.00,15500,10.4,27.9,7.0,21.4,17.8,0,0,0,17.36,17.36,100,,59,1.1,15.28,1
Derek Carr,,,QB,LV,vs LAC,27th,27.75,15000,11.4,30.4,7.6,15.8,17.9,0,0,0,19.03,19.03,100,,53,1.3,2.12,0.1
Stefon Diggs,,,WR,BUF,@ DEN,1st,27.00,15000,6.9,26.9,8.0,11.6,15.1,0,0,0,14.86,14.86,100,,35,1,20.20,1.3
Davante Adams,,,WR,GB,vs CAR,24th,31.00,15000,9.3,30.8,8.6,16.3,22,0,0,0,17.89,17.89,100,,39,1.2,7.70,0.5
Alex Smith,,,QB,WAS,vs SEA,21st,19.00,15000,0,10.8,7.2,,9.6,0,0,0,0.00,0.00,100,,53,0,,
James Robinson,,,RB,JAC,@ BAL,21st,18.50,15000,5.5,25.7,8.1,,16.4,0,0,0,13.58,13.58,100,,37,0.9,12.80,0.9
Jalen Hurts,,,QB,PHI,@ ARI,13th,21.75,15000,9.4,38.7,11.7,,3.4,0,0,0,21.12,21.12,100,,0,1.4,37.82,2.5
Drew Brees,,,QB,NO,vs KC,22nd,25.75,15000,9,29.8,8.3,19,18.3,0,0,0,17.34,17.34,100,,57,1.2,20.36,1.4
Taysom Hill,,,QB,NO,vs KC,22nd,25.75,15000,0,13.9,6.5,6.4,9.8,0,0,0,4.15,4.15,100,,0,0.3,6.30,0.4
Nick Chubb,,,RB,CLE,@ NYG,6th,25.25,15000,5.2,26.9,8.7,14.1,17.1,0,0,0,13.88,13.88,100,,35,0.9,13.60,0.9
Andy Dalton,,,QB,DAL,vs SF,12th,21.25,14500,8.2,27,7.5,16.7,10.8,0,0,0,15.72,15.72,100,,50,1.1,17.16,1.2
Nick Mullens,,,QB,SF,@ DAL,17th,24.25,14500,9,27.2,7.3,-0.3,12.8,0,0,0,16.26,16.26,100,,32,1.1,13.46,0.9
Chris Carson,,,RB,SEA,@ WAS,2nd,25.00,14500,6.8,23,6.5,14.3,15.9,0,0,0,13.26,13.26,100,,47,0.9,7.90,0.5
Mitchell Trubisky,,,QB,CHI,@ MIN,26th,22.00,14500,8.8,31.8,9.2,14.2,15.9,0,0,0,17.98,17.98,100,,34,1.2,14.48,1
Gardner Minshew,,,QB,JAC,@ BAL,23rd,18.50,14500,9.1,24.6,6.2,16.8,18.7,0,0,0,15.34,15.34,100,,62,1.1,15.94,1.1
Cam Akers,,,RB,LAR,vs NYJ,10th,30.75,14500,6.2,23.5,6.9,,9,0,0,0,13.12,13.12,100,,36,0.9,6.70,0.5
DeAndre Hopkins,,,WR,ARI,vs PHI,22nd,27.75,14500,7.6,25.6,7.2,14.5,14.7,0,0,0,14.81,14.81,100,,51,1,25.50,1.8
Tyreek Hill,,,WR,KC,@ NO,9th,27.75,14500,8.2,32.2,9.6,13.3,20.2,0,0,0,17.76,17.76,100,,33,1.2,14.40,1
Daniel Jones,,,QB,NYG,vs CLE,20th,19.25,14500,0,12.9,8.6,17.5,13.3,0,0,0,0.00,0.00,100,,45,0,,
Colt McCoy,,,QB,NYG,vs CLE,20th,19.25,14500,8.6,21.9,5.3,5.3,3.4,0,0,0,13.91,13.91,100,,16,1,9.14,0.6
Diontae Johnson,,,WR,PIT,@ CIN,26th,27.25,14500,4.7,22,6.9,8.4,11.1,0,0,0,11.64,11.64,100,,31,0.8,15.90,1.1
Keenan Allen,,,WR,LAC,@ LV,25th,24.75,14000,1.2,20.4,7.7,12.7,14.8,0,0,0,8.89,8.89,100,,43,0.6,2.10,0.2
Drew Lock,,,QB,DEN,vs BUF,5th,21.00,14000,8.3,27.5,7.7,14.2,14.5,0,0,0,15.98,15.98,100,,42,1.1,10.98,0.8
Teddy Bridgewater,,,QB,CAR,@ GB,11th,22.00,14000,9.3,29.6,8.1,10.3,18.3,0,0,0,17.40,17.40,100,,33,1.2,16.92,1.2
Calvin Ridley,,,WR,ATL,vs TB,21st,21.75,14000,7.1,27.6,8.2,12.7,15.7,0,0,0,15.31,15.31,100,,34,1.1,27.30,2
Jonathan Taylor,,,RB,IND,vs HOU,28th,29.50,14000,6.2,26.7,8.2,,13.3,0,0,0,14.44,14.44,100,,45,1,17.50,1.3
Ryan Fitzpatrick,,,QB,MIA,vs NE,4th,19.50,14000,0,14.1,9.4,17,18.7,0,0,0,0.00,0.00,100,,35,0,,
Raheem Mostert,,,RB,SF,@ DAL,25th,24.25,14000,0.4,23.9,9.4,12.5,12.1,0,0,0,9.80,9.80,100,,0,0.7,6.80,0.5
C.J. Beathard,,,QB,SF,@ DAL,17th,24.25,14000,0,9.8,6.5,,3.8,0,0,0,0.00,0.00,100,,42,0,8.00,0.6
Terry McLaurin,,,WR,WAS,vs SEA,10th,19.00,14000,5.6,22.1,6.6,11.6,12,0,0,0,12.16,12.16,100,,42,0.9,11.20,0.8
DK Metcalf,,,WR,SEA,@ WAS,14th,25.00,14000,6.3,25.6,7.7,10.6,16.2,0,0,0,14.01,14.01,100,,37,1,6.80,0.5
Chase Daniel,,,QB,DET,@ TEN,30th,23.00,14000,0,9.3,6.2,9.3,4.2,0,0,0,0.00,0.00,100,,0,0,2.30,0.2
Sam Darnold,,,QB,NYJ,@ LAR,3rd,13.75,14000,3.4,21.1,7.1,15.6,11.2,0,0,0,10.49,10.49,100,,47,0.7,14.08,1
Alvin Kamara,,,RB,NO,vs KC,16th,25.75,14000,5.9,30.6,9.9,14.9,20.4,0,0,0,15.75,15.75,100,,43,1.1,16.90,1.2
JuJu Smith-Schuster,,,WR,PIT,@ CIN,26th,27.25,14000,3.6,22.6,7.6,7.7,11.5,0,0,0,11.15,11.15,100,,33,0.8,1.00,0.1
Austin Ekeler,,,RB,LAC,@ LV,30th,24.75,13500,7.9,27.1,7.7,16.4,14.3,0,0,0,15.55,15.55,100,,32,1.2,9.90,0.7
Aaron Jones,,,RB,GB,vs CAR,13th,31.00,13500,5.2,31.7,10.6,18.5,16.7,0,0,0,15.75,15.75,100,,25,1.2,23.30,1.7
Amari Cooper,,,WR,DAL,vs SF,8th,21.25,13500,2,24.7,9.1,12.8,12.9,0,0,0,11.07,11.07,100,,20,0.8,1.30,0.1
