Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2019 Avg,2020 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Kyler Murray,,,QB,ARI,vs DET,29th,30.25,17000,14.3,39,9.9,18.6,30.2,0,0,0,24.17,24.17,100,,53,1.4,24.70,1.5
Lamar Jackson,,,QB,BAL,vs KC,8th,29.00,16500,14.5,40.3,10.3,27.4,22.5,0,0,0,24.81,24.81,100,,46,1.5,14.18,0.9
Gardner Minshew,,,QB,JAC,vs MIA,32nd,26.00,16000,12.6,28.1,6.2,16.8,23.1,0,0,0,18.79,18.79,100,,62,1.2,10.20,0.6
Christian McCaffrey,,,RB,CAR,@ LAC,21st,18.75,16000,0,14.9,9.9,25.8,24.9,0,0,0,0.00,0.00,100,,47,0,,
Russell Wilson,,,QB,SEA,vs DAL,20th,30.75,16000,15.4,35.7,8.1,20.2,33.1,0,0,0,23.53,23.53,100,,59,1.5,36.80,2.3
Patrick Mahomes,,,QB,KC,@ BAL,1st,26.00,16000,10.7,34.9,9.7,23,24,0,0,0,20.36,20.36,100,,55,1.3,40.00,2.5
Carson Wentz,,,QB,PHI,vs CIN,5th,25.75,15500,11.9,28.4,6.6,16.6,14.7,0,0,0,18.48,18.48,100,,62,1.2,23.50,1.5
Matthew Stafford,,,QB,DET,@ ARI,30th,25.25,15500,11.9,29.4,7.0,21.4,17.2,0,0,0,18.86,18.86,100,,59,1.2,18.50,1.2
Dak Prescott,,,QB,DAL,@ SEA,21st,25.75,15500,13,34.8,8.7,21.8,28.7,0,0,0,21.71,21.71,100,,53,1.4,29.48,1.9
Ryan Fitzpatrick,,,QB,MIA,@ JAC,18th,23.00,15000,7.6,31.1,9.4,17,16.4,0,0,0,16.97,16.97,100,,35,1.1,24.70,1.6
Aaron Rodgers,,,QB,GB,@ NO,22nd,24.50,15000,10.4,31.7,8.5,17.7,24.7,0,0,0,18.91,18.91,100,,58,1.3,24.52,1.6
Joe Burrow,,,QB,CIN,@ PHI,28th,20.75,15000,9.4,29.9,8.2,,20.9,0,0,0,17.55,17.55,100,,49,1.2,20.38,1.4
Teddy Bridgewater,,,QB,CAR,@ LAC,3rd,18.75,15000,6.8,27,8.1,10.3,15,0,0,0,14.85,14.85,100,,33,1,14.60,1
DeAndre Hopkins,,,WR,ARI,vs DET,29th,30.25,15000,10.5,28.5,7.2,14.5,19.5,0,0,0,17.70,17.70,100,,51,1.2,18.70,1.2
Tom Brady,,,QB,TB,@ DEN,31st,24.25,15000,9.9,29.2,7.7,16.4,16.1,0,0,0,17.60,17.60,100,,60,1.2,23.88,1.6
Alvin Kamara,,,RB,NO,vs GB,19th,27.50,14500,8.8,33.6,9.9,14.9,27.6,0,0,0,18.73,18.73,100,,43,1.3,38.20,2.6
Drew Lock,,,QB,DEN,vs TB,12th,18.25,14500,0,11.6,7.7,14.2,6,0,0,0,0.00,0.00,100,,42,0,,
James Robinson,,,RB,JAC,vs MIA,30th,26.00,14000,4,24.3,8.1,,14.5,0,0,0,12.12,12.12,100,,37,0.9,27.90,2
Aaron Jones,,,RB,GB,@ NO,8th,24.50,14000,4.6,31.1,10.6,18.5,29.6,0,0,0,15.20,15.20,100,,25,1.1,15.60,1.1
Tyrod Taylor,,,QB,LAC,vs CAR,9th,24.75,14000,0,13.5,9.0,1.5,9,0,0,0,0.00,0.00,100,,34,0,,
Justin Herbert,,,QB,LAC,vs CAR,9th,24.75,14000,10.3,29.1,7.5,,23.2,0,0,0,17.81,17.81,100,,66,1.3,15.70,1.1
Ezekiel Elliott,,,RB,DAL,@ SEA,24th,25.75,14000,10,30.2,8.1,16.9,22.7,0,0,0,18.06,18.06,100,,53,1.3,14.80,1.1
