Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2019 Avg,2020 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Lamar Jackson,,,QB,BAL,@ CIN,20th,29.00,17000,13.7,39.5,10.3,27.4,22.6,0,0,0,24.02,24.02,100,,46,1.4,25.22,1.5
Jalen Hurts,,,QB,PHI,vs WAS,10th,18.50,16500,8.7,38,11.7,,7.4,0,0,0,20.42,20.42,100,,0,1.2,17.28,1
Tom Brady,,,QB,TB,vs ATL,8th,29.00,16500,12.8,32,7.7,16.4,21.2,0,0,0,20.46,20.46,100,,60,1.2,31.26,1.9
Josh Allen,,,QB,BUF,vs MIA,13th,19.75,16500,0,23.3,9.5,19,25.7,0,0,0,9.04,9.04,100,,52,0.5,20.26,1.2
Kyler Murray,,,QB,ARI,@ LAR,2nd,21.25,16500,10.3,35.1,9.9,18.6,25.8,0,0,0,20.21,20.21,100,,53,1.2,3.78,0.2
Justin Herbert,,,QB,LAC,@ KC,29th,24.50,16500,11.7,30.4,7.5,,22.1,0,0,0,19.16,19.16,100,,66,1.2,32.98,2
Deshaun Watson,,,QB,HOU,vs TEN,27th,24.00,16500,12.6,36.6,9.6,22.4,23.3,0,0,0,22.24,22.24,100,,54,1.3,26.80,1.6
Cam Newton,,,QB,NE,vs NYJ,32nd,22.00,16000,7.2,30.7,9.4,8.8,16.6,0,0,0,16.57,16.57,100,,51,1,37.98,2.4
Dalvin Cook,,,RB,MIN,@ DET,29th,28.25,16000,0,14.3,9.5,17.6,22.6,0,0,0,0.00,0.00,100,,42,0,,
Philip Rivers,,,QB,IND,vs JAC,26th,31.50,16000,12.8,28.3,6.2,16,16,0,0,0,19.03,19.03,100,,63,1.2,11.36,0.7
Aaron Rodgers,,,QB,GB,@ CHI,22nd,26.25,16000,11.8,33.1,8.5,17.7,24.1,0,0,0,20.31,20.31,100,,58,1.3,26.00,1.6
Alvin Kamara,,,RB,NO,@ CAR,19th,26.25,16000,0,14.9,9.9,14.9,22.4,0,0,0,0.00,0.00,100,,43,0,,
Derek Carr,,,QB,LV,@ DEN,3rd,26.25,16000,11.4,30.4,7.6,15.8,17.2,0,0,0,19.04,19.04,100,,53,1.2,22.94,1.4
Russell Wilson,,,QB,SEA,@ SF,9th,26.00,16000,12,32.2,8.1,20.2,23.6,0,0,0,20.08,20.08,100,,59,1.3,18.14,1.1
Baker Mayfield,,,QB,CLE,vs PIT,4th,27.25,16000,9.8,27,6.9,15.6,16,0,0,0,16.69,16.69,100,,56,1,16.24,1
Matt Ryan,,,QB,ATL,@ TB,30th,22.00,15500,10,30,8.0,18.8,18,0,0,0,18.02,18.02,100,,55,1.2,22.70,1.5
Ryan Fitzpatrick,,,QB,MIA,@ BUF,6th,22.75,15500,0,14.1,9.4,17,17.9,0,0,0,0.00,0.00,100,,35,0,,
Matthew Stafford,,,QB,DET,vs MIN,11th,25.25,15500,12,29.5,7.0,21.4,16.5,0,0,0,19.00,19.00,100,,59,1.2,23.62,1.5
Drew Lock,,,QB,DEN,vs LV,16th,24.25,15500,9.4,28.6,7.7,14.2,14.3,0,0,0,17.08,17.08,100,,42,1.1,24.26,1.6
Derrick Henry,,,RB,TEN,@ HOU,30th,31.00,15500,9,36.5,11.0,18.7,19.2,0,0,0,20.04,20.04,100,,18,1.3,35.00,2.3
Andy Dalton,,,QB,DAL,@ NYG,14th,22.25,15000,9.3,28.1,7.5,16.7,13.1,0,0,0,16.81,16.81,100,,50,1.1,13.52,0.9
Tua Tagovailoa,,,QB,MIA,@ BUF,6th,22.75,15000,8.2,28.4,8.1,,13.6,0,0,0,16.25,16.25,100,,35,1.1,18.24,1.2
Kirk Cousins,,,QB,MIN,@ DET,31st,28.25,15000,11.2,31.2,8.0,15.9,19,0,0,0,19.22,19.22,100,,54,1.3,34.30,2.3
Jonathan Taylor,,,RB,IND,vs JAC,28th,31.50,15000,8.7,29.2,8.2,,14.1,0,0,0,16.89,16.89,100,,45,1.1,37.90,2.5
DeAndre Hopkins,,,WR,ARI,@ LAR,2nd,21.25,15000,7.3,25.3,7.2,14.5,15,0,0,0,14.48,14.48,100,,51,1,5.50,0.4
Davante Adams,,,WR,GB,@ CHI,18th,26.25,15000,12.3,33.8,8.6,16.3,22.1,0,0,0,20.90,20.90,100,,39,1.4,13.60,0.9
Drew Brees,,,QB,NO,@ CAR,15th,26.25,15000,9,29.8,8.3,19,17.8,0,0,0,17.33,17.33,100,,57,1.2,20.04,1.3
Chad Henne,,,QB,KC,vs LAC,23rd,18.50,15000,11.1,21.9,4.3,,3.5,0,0,0,15.41,15.41,100,,0,1,16.72,1.1
Patrick Mahomes,,,QB,KC,vs LAC,23rd,18.50,15000,0,14.6,9.7,23,25.3,0,0,0,0.00,0.00,100,,55,0,,
Nick Chubb,,,RB,CLE,vs PIT,15th,27.25,15000,6.6,28.4,8.7,14.1,16.6,0,0,0,15.30,15.30,100,,35,1,16.80,1.1
Miles Sanders,,,RB,PHI,vs WAS,9th,18.50,14500,0,11.4,7.6,11.9,13,0,0,0,0.00,0.00,100,,34,0,,
Alex Smith,,,QB,WAS,@ PHI,19th,24.50,14500,9.1,27.1,7.2,,9.6,0,0,0,16.32,16.32,100,,53,1.1,12.48,0.9
Daniel Jones,,,QB,NYG,vs DAL,24th,21.25,14500,8.3,29.8,8.6,17.5,13.4,0,0,0,16.93,16.93,100,,45,1.2,15.86,1.1
Colt McCoy,,,QB,NYG,vs DAL,24th,21.25,14500,0,8,5.3,5.3,4.8,0,0,0,0.00,0.00,100,,16,0,,
Stefon Diggs,,,WR,BUF,vs MIA,21st,19.75,14500,2.1,22.1,8.0,11.6,16.9,0,0,0,10.09,10.09,100,,35,0.7,11.10,0.8
Sam Darnold,,,QB,NYJ,@ NE,7th,19.00,14500,6.9,24.6,7.1,15.6,12,0,0,0,13.97,13.97,100,,47,1,12.94,0.9
Brandon Allen,,,QB,CIN,vs BAL,25th,16.00,14500,7.1,22.4,6.1,11.5,13.4,0,0,0,13.24,13.24,100,,23,0.9,0.12,0
Mike Glennon,,,QB,JAC,@ IND,18th,16.50,14500,8.6,22.3,5.5,2.1,12.2,0,0,0,14.08,14.08,100,,25,1,16.64,1.1
Gardner Minshew,,,QB,JAC,@ IND,18th,16.50,14500,0,9.3,6.2,16.8,18.4,0,0,0,0.00,0.00,100,,62,0,,
David Montgomery,,,RB,CHI,vs GB,14th,22.25,14500,8,26.8,7.5,9.9,15.3,0,0,0,15.53,15.53,100,,39,1.1,23.70,1.6
Teddy Bridgewater,,,QB,CAR,vs NO,1st,20.25,14500,8.1,28.4,8.1,10.3,17.6,0,0,0,16.24,16.24,100,,33,1.1,5.74,0.4
Travis Kelce,,,TE,KC,vs LAC,17th,18.50,14500,0,11.3,7.5,13.7,17.4,0,0,0,0.00,0.00,100,,41,0,,
Ryan Tannehill,,,QB,TEN,@ HOU,28th,31.00,14500,12.7,31.9,7.7,17.4,21.5,0,0,0,20.39,20.39,100,,54,1.4,28.44,2
DK Metcalf,,,WR,SEA,@ SF,11th,26.00,14500,6.3,25.6,7.7,10.6,15.1,0,0,0,14.03,14.03,100,,37,1,3.60,0.2
Ben Roethlisberger,,,QB,PIT,@ CLE,21st,17.25,14500,0,12.2,8.1,6.9,18.5,0,0,0,0.00,0.00,100,,57,0,,
Mason Rudolph,,,QB,PIT,@ CLE,21st,17.25,14500,6.5,22.3,6.3,11.8,-0.1,0,0,0,12.82,12.82,100,,28,0.9,19.70,1.4
Taylor Heinicke,,,QB,WAS,@ PHI,19th,24.50,14000,0,8.3,5.5,,,0,0,0,0.00,0.00,100,,11,0,,
Ezekiel Elliott,,,RB,DAL,@ NYG,5th,22.25,14000,5.8,26.1,8.1,16.9,13.2,0,0,0,13.94,13.94,100,,53,1,13.60,1
Mike Evans,,,WR,TB,vs ATL,26th,29.00,14000,3.3,23.8,8.2,15.3,13.8,0,0,0,11.49,11.49,100,,37,0.8,6.10,0.4
Adam Thielen,,,WR,MIN,@ DET,27th,28.25,14000,4.9,25.9,8.4,10.1,15,0,0,0,13.34,13.34,100,,24,1,7.70,0.6
Jacoby Brissett,,,QB,IND,vs JAC,26th,31.50,14000,0,12.8,8.5,14.9,2,0,0,0,0.00,0.00,100,,8,0,0.30,0
John Wolford,,,QB,LAR,vs ARI,17th,20.25,14000,9.4,23.2,5.5,,,0,0,0,14.92,14.92,100,,11,1.1,13.84,1
Jared Goff,,,QB,LAR,vs ARI,17th,20.25,14000,0,12.5,8.3,16.5,16.9,0,0,0,0.00,0.00,100,,48,0,,
Mitchell Trubisky,,,QB,CHI,vs GB,5th,22.25,14000,9.2,32.2,9.2,14.2,16.7,0,0,0,18.42,18.42,100,,34,1.3,11.28,0.8
Tyreek Hill,,,WR,KC,vs LAC,22nd,18.50,14000,0,14.4,9.6,13.3,19,0,0,0,0.00,0.00,100,,33,0,,
Darren Waller,,,TE,LV,@ DEN,9th,26.25,14000,4.4,24.6,8.1,11,13.5,0,0,0,12.46,12.46,100,,16,0.9,22.20,1.6
C.J. Beathard,,,QB,SF,vs SEA,12th,19.00,14000,9,25.3,6.5,,7.7,0,0,0,15.51,15.51,100,,42,1.1,13.92,1
Antonio Gibson,,,RB,WAS,@ PHI,18th,24.50,13500,5.2,24.2,7.6,,13.5,0,0,0,12.78,12.78,100,,33,0.9,8.60,0.6
Amari Cooper,,,WR,DAL,@ NYG,12th,22.25,13500,2.3,25,9.1,12.8,12.2,0,0,0,11.37,11.37,100,,20,0.8,7.10,0.5
Calvin Ridley,,,WR,ATL,@ TB,23rd,22.00,13500,9.3,29.8,8.2,12.7,16.4,0,0,0,17.45,17.45,100,,34,1.3,6.60,0.5
Damien Harris,,,RB,NE,vs NYJ,2nd,22.00,13500,0,6.3,4.2,1.2,8.9,0,0,0,0.00,0.00,100,,47,0,,
