Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2017 Avg,2018 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Todd Gurley,,,RB,LAR,@ NO,13th,28.75,19000,12.2,35.7,9.4,22.8,28.1,0,0,0,21.55,21.55,100,,40,1.1,16.90,0.9
Tom Brady,,,QB,NE,vs GB,22nd,30.50,17500,14.5,33.7,7.7,20,19.5,0,0,0,22.15,22.15,100,,60,1.3,15.66,0.9
Aaron Rodgers,,,QB,GB,@ NE,28th,25.50,17000,15.1,36.4,8.5,19.4,21.4,0,0,0,23.62,23.62,100,,58,1.4,19.16,1.1
Ezekiel Elliott,,,RB,DAL,vs TEN,12th,22.00,17000,12.7,32.9,8.1,19,16.3,0,0,0,20.75,20.75,100,,53,1.2,13.20,0.8
Drew Brees,,,QB,NO,vs LAR,9th,27.75,16500,14,34.8,8.3,17.5,21.4,0,0,0,22.33,22.33,100,,57,1.4,31.44,1.9
C.J. Beathard,,,QB,SF,vs LV,27th,21.50,16000,0,14,6.5,15.8,16.4,0,0,0,4.29,4.29,100,,42,0.3,,
Derek Carr,,,QB,LV,@ SF,17th,22.50,16000,12.3,31.3,7.6,14.6,17.2,0,0,0,19.89,19.89,100,,53,1.2,7.34,0.5
Adam Thielen,,,WR,MIN,vs DET,8th,25.75,16000,13.8,34.8,8.4,11.6,20.6,0,0,0,22.15,22.15,100,,24,1.4,10.70,0.7
Dak Prescott,,,QB,DAL,vs TEN,2nd,22.00,16000,12.1,33.8,8.7,17.1,16.6,0,0,0,20.78,20.78,100,,53,1.3,15.82,1
Kirk Cousins,,,QB,MIN,vs DET,21st,25.75,15500,14.8,34.8,8.0,18.2,21.1,0,0,0,22.78,22.78,100,,54,1.5,7.86,0.5
Davante Adams,,,WR,GB,@ NE,21st,25.50,15500,10.2,31.7,8.6,13.3,18.7,0,0,0,18.79,18.79,100,,39,1.2,13.00,0.8
Jared Goff,,,QB,LAR,@ NO,23rd,28.75,15500,14.4,35.2,8.3,17.3,21.3,0,0,0,22.72,22.72,100,,48,1.5,30.34,2
Matthew Stafford,,,QB,DET,@ MIN,14th,21.75,15000,13.5,31,7.0,17.7,18.1,0,0,0,20.46,20.46,100,,59,1.4,6.56,0.4
George Kittle,,,TE,SF,vs LV,24th,21.50,14500,6,24,7.2,5.7,11.4,0,0,0,13.17,13.17,100,,27,0.9,18.80,1.3
James White,,,RB,NE,vs GB,16th,30.50,14500,10.9,26.9,6.4,8.7,17.7,0,0,0,17.26,17.26,100,,30,1.2,25.30,1.7
Alvin Kamara,,,RB,NO,vs LAR,17th,27.75,14000,12.1,36.9,9.9,17.2,23.1,0,0,0,22.00,22.00,100,,43,1.6,31.60,2.3
Marcus Mariota,,,QB,TEN,@ DAL,1st,18.00,14000,7.2,30.2,9.2,16.1,11.3,0,0,0,16.43,16.43,100,,37,1.2,22.80,1.6
Doug Martin,,,RB,LV,@ SF,15th,22.50,13500,4.4,21.4,6.8,6.5,2.9,0,0,0,11.22,11.22,100,,23,0.8,7.40,0.5
Latavius Murray,,,RB,MIN,vs DET,27th,25.75,13000,7.2,25.5,7.3,9.3,10.6,0,0,0,14.50,14.50,100,,22,1.1,11.20,0.9
Jared Cook,,,TE,LV,@ SF,23rd,22.50,12500,6.1,20.6,5.8,6.6,11.9,0,0,0,11.88,11.88,100,,23,1,3.00,0.2
Stefon Diggs,,,WR,MIN,vs DET,8th,25.75,12500,0,12,8.0,12.5,14.7,0,0,0,0.00,0.00,100,,35,0,,
Sony Michel,,,RB,NE,vs GB,16th,30.50,12500,0,11,7.3,,11.6,0,0,0,0.00,0.00,100,,27,0,,
Julian Edelman,,,WR,NE,vs GB,30th,30.50,12500,7.8,23.6,6.3,,12.9,0,0,0,14.12,14.12,100,,50,1.1,14.38,1.2
Michael Thomas,,,WR,NO,vs LAR,7th,27.75,12500,11.3,31.3,8.0,13.8,16.6,0,0,0,19.32,19.32,100,,42,1.5,33.10,2.6
Matt Breida,,,RB,SF,vs LV,28th,21.50,12000,5.5,20.5,6.0,5.8,9.9,0,0,0,11.54,11.54,100,,8,1,5.20,0.4
Kerryon Johnson,,,RB,DET,@ MIN,4th,21.75,12000,7.3,21.1,5.5,,11.3,0,0,0,12.84,12.84,100,,29,1.1,5.90,0.5
Robert Woods,,,WR,LAR,@ NO,32nd,28.75,12000,10,27,6.8,11.8,14.7,0,0,0,16.75,16.75,100,,36,1.4,10.00,0.8
Dion Lewis,,,RB,TEN,@ DAL,3rd,18.00,12000,6.4,22.7,6.5,11.6,7.9,0,0,0,12.93,12.93,100,,7,1.1,20.20,1.7
Aaron Jones,,,RB,GB,@ NE,7th,25.50,11500,1.2,27.7,10.6,7.6,9.3,0,0,0,11.83,11.83,100,,25,1,7.50,0.7
Seth Roberts,,,WR,LV,@ SF,16th,22.50,11000,4,14.5,4.2,4.6,6.4,0,0,0,8.15,8.15,100,,14,0.7,1.30,0.1
Marvin Jones,,,WR,DET,@ MIN,4th,21.75,11000,6.3,25,7.5,12.2,11.7,0,0,0,13.75,13.75,100,,29,1.3,9.60,0.9
Golden Tate,,,WR,DET,@ MIN,4th,21.75,11000,0,9.8,6.5,11.2,13.7,0,0,0,0.00,0.00,100,,32,0,,
Rob Gronkowski,,,TE,NE,vs GB,7th,30.50,11000,0,12.2,8.1,15,9,0,0,0,0.00,0.00,100,,28,0,,
Kenjon Barner,,,RB,NE,vs GB,16th,30.50,11000,0.6,6.9,2.5,1.3,1.7,0,0,0,3.12,3.12,100,,0,0.3,0.40,0
Brandin Cooks,,,WR,LAR,@ NO,32nd,28.75,11000,7.4,26.9,7.8,11,13.9,0,0,0,15.23,15.23,100,,33,1.4,20.40,1.9
Ryan Succop,,,K,TEN,@ DAL,6th,18.00,11000,4.1,13.8,3.9,9.1,10.8,0,0,0,7.98,7.98,100,,49,0.7,4.00,0.4
Jalen Richard,,,RB,LV,@ SF,15th,22.50,10500,6.8,16.8,4.0,4.5,7.8,0,0,0,10.78,10.78,100,,22,1,6.90,0.7
Mark Ingram,,,RB,NO,vs LAR,17th,27.75,10500,6.1,25.8,7.9,14.2,12.1,0,0,0,13.97,13.97,100,,34,1.3,2.10,0.2
Brett Maher,,,K,DAL,vs TEN,24th,22.00,10500,2.8,14.8,4.8,,10.1,0,0,0,7.62,7.62,100,,41,0.7,2.00,0.2
Dan Bailey,,,K,MIN,vs DET,5th,25.75,10000,4.6,15.1,4.2,7.4,10.2,0,0,0,8.75,8.75,100,,45,0.9,6.00,0.6
Josh Gordon,,,WR,NE,vs GB,30th,30.50,10000,6,18.2,4.9,9.7,8.2,0,0,0,10.89,10.89,100,,40,1.1,21.50,2.2
Cooper Kupp,,,WR,LAR,@ NO,32nd,28.75,10000,5.8,24.6,7.5,10.2,15.2,0,0,0,13.31,13.31,100,,40,1.3,17.40,1.7
Cole Beasley,,,WR,DAL,vs TEN,19th,22.00,10000,3.4,18.4,6.0,4.9,9.1,0,0,0,9.37,9.37,100,,24,0.9,3.10,0.3
Amari Cooper,,,WR,DAL,vs TEN,19th,22.00,10000,0,22.5,9.1,9.6,7.7,0,0,0,8.83,8.83,100,,20,0.9,14.30,1.4
Kenny Golladay,,,WR,DET,@ MIN,4th,21.75,9500,7,24.3,6.9,7.3,11.5,0,0,0,13.92,13.92,100,,33,1.5,6.90,0.7
Matt Prater,,,K,DET,@ MIN,26th,21.75,9500,3.3,14.3,4.4,9.4,8.6,0,0,0,7.65,7.65,100,,46,0.8,9.00,0.9
Stephen Gostkowski,,,K,NE,vs GB,11th,30.50,9500,4.8,16,4.5,10.2,10.4,0,0,0,9.25,9.25,100,,52,1,7.00,0.7
Jimmy Graham,,,TE,GB,@ NE,26th,25.50,9500,4.2,18.2,5.6,8.9,8.1,0,0,0,9.82,9.82,100,,25,1,13.50,1.4
Greg Zuerlein,,,K,LAR,@ NO,3rd,28.75,9500,3.5,16,5.0,13,12.7,0,0,0,8.50,8.50,100,,44,0.9,11.00,1.2
Derrick Henry,,,RB,TEN,@ DAL,3rd,18.00,9500,0,25,11.0,9,4.7,0,0,0,8.45,8.45,100,,18,0.9,10.20,1.1
Jordy Nelson,,,WR,LV,@ SF,16th,22.50,9000,2.9,22.9,8.0,7.9,9.3,0,0,0,10.91,10.91,100,,22,1.2,2.60,0.3
Marquise Goodwin,,,WR,SF,vs LV,24th,21.50,9000,4.7,19,5.7,8.8,9.4,0,0,0,10.44,10.44,100,,10,1.2,1.80,0.2
Robbie Gould,,,K,SF,vs LV,27th,21.50,9000,3.1,14.1,4.4,10.6,8.6,0,0,0,7.45,7.45,100,,48,0.8,10.00,1.1
Mason Crosby,,,K,GB,@ NE,20th,25.50,9000,4.9,14.9,4.0,6,11.3,0,0,0,8.85,8.85,100,,47,1,5.00,0.6
Wil Lutz,,,K,NO,vs LAR,13th,27.75,9000,4.5,13.5,3.6,9.9,10.7,0,0,0,8.05,8.05,100,,61,0.9,11.00,1.2
Corey Davis,,,WR,TEN,@ DAL,1st,18.00,9000,2.8,20.3,7.0,6.1,9.7,0,0,0,9.83,9.83,100,,13,1.1,9.00,1
Alfred Morris,,,RB,SF,vs LV,28th,21.50,8500,0.2,11.7,4.6,5.3,6,0,0,0,4.76,4.76,100,,2,0.6,1.30,0.2
