Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2017 Avg,2018 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Aaron Rodgers,,,QB,GB,vs SF,12th,27.50,20000,14.5,35.8,8.5,19.4,21.1,0,0,0,23.04,23.04,100,,58,1.2,28.40,1.4
Patrick Mahomes,,,QB,KC,@ NE,26th,28.25,18500,14.9,39.2,9.7,11.4,26.6,0,0,0,24.62,24.62,100,,55,1.3,28.98,1.6
Todd Gurley,,,RB,LAR,@ DEN,23rd,28.50,18000,13.3,36.8,9.4,22.8,26,0,0,0,22.74,22.74,100,,40,1.3,35.50,2
Ben Roethlisberger,,,QB,PIT,@ CIN,19th,24.25,17000,12.6,32.8,8.1,19.5,22.9,0,0,0,20.66,20.66,100,,57,1.2,21.06,1.2
Jared Goff,,,QB,LAR,@ DEN,15th,28.50,17000,12.7,33.4,8.3,17.3,23.8,0,0,0,20.97,20.97,100,,48,1.2,8.44,0.5
Tom Brady,,,QB,NE,vs KC,21st,31.25,17000,16.9,36.1,7.7,20,19.5,0,0,0,24.56,24.56,100,,60,1.4,21.80,1.3
Odell Beckham Jr.,,,WR,NYG,vs PHI,32nd,22.25,16000,8.2,28.9,8.3,15.4,15.4,0,0,0,16.45,16.45,100,,42,1,7.40,0.5
Saquon Barkley,,,RB,NYG,vs PHI,8th,22.25,16000,8.4,32.9,9.8,,20.7,0,0,0,18.18,18.18,100,,42,1.1,33.40,2.1
Andy Dalton,,,QB,CIN,vs PIT,22nd,25.25,16000,14.9,33.6,7.5,13.9,20.4,0,0,0,22.38,22.38,100,,50,1.4,17.16,1.1
Carson Wentz,,,QB,PHI,@ NYG,31st,23.25,15500,12.8,29.3,6.6,22.4,18,0,0,0,19.36,19.36,100,,62,1.2,24.52,1.6
Antonio Brown,,,WR,PIT,@ CIN,7th,24.25,15000,10.4,35.1,9.9,19.2,17,0,0,0,20.29,20.29,100,,41,1.4,19.00,1.3
Case Keenum,,,QB,DEN,vs LAR,16th,21.50,14500,9.3,27.3,7.2,16.3,15,0,0,0,16.48,16.48,100,,40,1.1,20.48,1.4
Eli Manning,,,QB,NYG,vs PHI,28th,22.25,14000,9.3,27.3,7.2,13.4,15.5,0,0,0,16.45,16.45,100,,52,1.2,10.24,0.7
James Conner,,,RB,PIT,@ CIN,30th,24.25,14000,8.3,31.3,9.2,1.2,20.2,0,0,0,17.49,17.49,100,,13,1.2,26.90,1.9
Cooper Kupp,,,WR,LAR,@ DEN,20th,28.50,14000,7.3,26,7.5,10.2,18,0,0,0,14.77,14.77,100,,40,1.1,1.20,0.1
Robert Woods,,,WR,LAR,@ DEN,20th,28.50,14000,7.4,24.4,6.8,11.8,16.2,0,0,0,14.17,14.17,100,,36,1,15.60,1.1
Brandin Cooks,,,WR,LAR,@ DEN,20th,28.50,14000,5.5,25,7.8,11,16.5,0,0,0,13.26,13.26,100,,33,0.9,6.30,0.5
Davante Adams,,,WR,GB,vs SF,9th,27.50,14000,9.1,30.6,8.6,13.3,17,0,0,0,17.72,17.72,100,,39,1.3,30.20,2.2
C.J. Beathard,,,QB,SF,@ GB,27th,18.50,14000,11.9,28.2,6.5,15.8,21.2,0,0,0,18.40,18.40,100,,42,1.3,18.90,1.4
A.J. Green,,,WR,CIN,vs PIT,24th,25.25,13500,7.1,27.9,8.3,11.8,16.4,0,0,0,15.44,15.44,100,,25,1.1,12.00,0.9
James White,,,RB,NE,vs KC,13th,31.25,13500,10.5,26.5,6.4,8.7,16.8,0,0,0,16.93,16.93,100,,30,1.3,11.70,0.9
Zach Ertz,,,TE,PHI,@ NYG,23rd,23.25,13000,6.5,23.7,6.9,11.7,14,0,0,0,13.38,13.38,100,,30,1,13.80,1.1
Joe Mixon,,,RB,CIN,vs PIT,12th,25.25,13000,8.4,28.4,8.0,9,17.2,0,0,0,16.40,16.40,100,,31,1.3,16.40,1.3
Kareem Hunt,,,RB,KC,@ NE,2nd,28.25,13000,4.6,26.6,8.8,16.5,15.3,0,0,0,13.35,13.35,100,,35,1,27.00,2.1
Tyreek Hill,,,WR,KC,@ NE,18th,28.25,13000,7.3,31.3,9.6,13.9,16.7,0,0,0,16.85,16.85,100,,33,1.3,35.70,2.7
Alshon Jeffery,,,WR,PHI,@ NYG,29th,23.25,12500,4.6,21.4,6.7,11.2,12.7,0,0,0,11.31,11.31,100,,37,0.9,23.40,1.9
JuJu Smith-Schuster,,,WR,PIT,@ CIN,7th,24.25,12500,7.1,26.1,7.6,11.8,14.9,0,0,0,14.65,14.65,100,,33,1.2,16.60,1.3
Emmanuel Sanders,,,WR,DEN,vs LAR,26th,21.50,12500,4.9,23.4,7.4,7.6,14.5,0,0,0,12.29,12.29,100,,26,1,21.00,1.7
Rob Gronkowski,,,TE,NE,vs KC,27th,31.25,12500,4.3,24.5,8.1,15,9.3,0,0,0,12.35,12.35,100,,28,1,11.20,0.9
Sony Michel,,,RB,NE,vs KC,13th,31.25,12500,7.6,25.8,7.3,,11.2,0,0,0,14.86,14.86,100,,27,1.2,22.60,1.8
Travis Kelce,,,TE,KC,@ NE,28th,28.25,12500,7.6,26.3,7.5,13,14.5,0,0,0,15.05,15.05,100,,41,1.2,8.60,0.7
George Kittle,,,TE,SF,@ GB,21st,18.50,12500,6,24,7.2,5.7,11.9,0,0,0,13.15,13.15,100,,27,1.1,5.00,0.4
Sterling Shepard,,,WR,NYG,vs PHI,32nd,22.25,12000,4.9,20.1,6.1,10.5,11.7,0,0,0,10.99,10.99,100,,39,0.9,5.20,0.4
Matt Breida,,,RB,SF,@ GB,18th,18.50,12000,0.6,15.6,6.0,5.8,12.7,0,0,0,6.60,6.60,100,,8,0.6,12.10,1
Phillip Lindsay,,,RB,DEN,vs LAR,20th,21.50,11500,5.5,22.7,6.9,,11.1,0,0,0,12.39,12.39,100,,27,1.1,9.60,0.8
