Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2017 Avg,2018 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Patrick Mahomes,,,QB,KC,@ DEN,20th,28.25,19000,15.5,39.7,9.7,11.4,30.8,0,0,0,25.19,25.19,100,,55,1.3,22.86,1.2
Ben Roethlisberger,,,QB,PIT,vs BAL,10th,27.00,17000,13.5,33.7,8.1,19.5,25.3,0,0,0,21.57,21.57,100,,57,1.3,15.86,0.9
Todd Gurley,,,RB,LAR,vs MIN,7th,28.00,16500,11.5,35,9.4,22.8,25,0,0,0,20.93,20.93,100,,40,1.3,23.60,1.4
Drew Brees,,,QB,NO,@ NYG,32nd,27.50,16500,12.8,33.6,8.3,17.5,29.9,0,0,0,21.13,21.13,100,,57,1.3,8.58,0.5
Matt Ryan,,,QB,ATL,vs CIN,25th,27.50,16000,12.3,32.3,8.0,14.8,27.2,0,0,0,20.26,20.26,100,,55,1.3,29.26,1.8
Julio Jones,,,WR,ATL,vs CIN,15th,27.50,16000,7.2,28.9,8.7,13.5,14.7,0,0,0,15.86,15.86,100,,44,1,21.80,1.4
Michael Thomas,,,WR,NO,@ NYG,32nd,27.50,16000,10,30,8.0,13.8,24.3,0,0,0,18.02,18.02,100,,42,1.1,6.70,0.4
Alvin Kamara,,,RB,NO,@ NYG,16th,27.50,16000,12.2,36.9,9.9,17.2,26.7,0,0,0,22.06,22.06,100,,43,1.4,38.60,2.4
Antonio Brown,,,WR,PIT,vs BAL,8th,27.00,15000,8.3,33.1,9.9,19.2,15,0,0,0,18.22,18.22,100,,41,1.2,14.70,1
Tyreek Hill,,,WR,KC,@ DEN,17th,28.25,15000,7.5,31.5,9.6,13.9,21,0,0,0,17.14,17.14,100,,33,1.1,10.10,0.7
Kirk Cousins,,,QB,MIN,@ LAR,15th,21.00,14500,11.7,31.7,8.0,18.2,22,0,0,0,19.68,19.68,100,,54,1.4,31.68,2.2
