Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2017 Avg,2018 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Patrick Mahomes,,,QB,KC,@ SEA,27th,27.75,18000,14.3,38.5,9.7,11.4,27.3,0,0,0,23.99,23.99,100,,55,1.3,28.22,1.6
Ben Roethlisberger,,,QB,PIT,@ NO,18th,23.50,17000,16.4,36.6,8.1,19.5,22.4,0,0,0,24.46,24.46,100,,57,1.4,29.60,1.7
Derrick Henry,,,RB,TEN,vs WAS,22nd,24.50,16500,5.1,32.6,11.0,9,11.8,0,0,0,16.14,16.14,100,,18,1,15.70,1
Philip Rivers,,,QB,LAC,vs BAL,3rd,23.25,16500,14,29.5,6.2,17.5,20.2,0,0,0,20.18,20.18,100,,63,1.2,5.34,0.3
Christian McCaffrey,,,RB,CAR,vs ATL,19th,21.25,16500,13.3,38,9.9,12.3,21.7,0,0,0,23.16,23.16,100,,47,1.4,23.80,1.4
Matt Ryan,,,QB,ATL,@ CAR,26th,24.25,16000,12.8,32.8,8.0,14.8,22.3,0,0,0,20.77,20.77,100,,55,1.3,19.46,1.2
Drew Brees,,,QB,NO,vs PIT,10th,29.50,16000,16.9,37.7,8.3,17.5,20.9,0,0,0,25.21,25.21,100,,57,1.6,16.94,1.1
Russell Wilson,,,QB,SEA,vs KC,30th,26.75,16000,14.1,34.3,8.1,22.4,19.2,0,0,0,22.16,22.16,100,,59,1.4,28.54,1.8
Derek Carr,,,QB,LV,vs DEN,24th,20.25,16000,10.3,29.3,7.6,14.6,15.5,0,0,0,17.87,17.87,100,,53,1.1,6.38,0.4
Josh Johnson,,,QB,WAS,@ TEN,9th,13.50,15500,12.9,21.2,3.3,,,0,0,0,16.21,16.21,100,,40,1,,
Aaron Rodgers,,,QB,GB,@ NYJ,23rd,25.25,15500,13.1,34.3,8.5,19.4,19.3,0,0,0,21.57,21.57,100,,58,1.4,42.88,2.8
