Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2017 Avg,2018 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Todd Gurley,,,RB,LAR,vs SEA,13th,30.00,18500,15.3,38.8,9.4,22.8,26.8,0,0,0,24.69,24.69,100,,40,1.3,23.50,1.3
Carson Wentz,,,QB,PHI,vs DAL,7th,26.25,17000,16.1,32.6,6.6,22.4,20.2,0,0,0,22.68,22.68,100,,62,1.3,22.10,1.3
Saquon Barkley,,,RB,NYG,@ SF,17th,21.00,17000,12.1,36.6,9.8,,21.8,0,0,0,21.86,21.86,100,,42,1.3,12.00,0.7
Cam Newton,,,QB,CAR,@ PIT,13th,24.00,16500,14.4,37.9,9.4,20.1,24.2,0,0,0,23.76,23.76,100,,51,1.4,15.72,1
James Conner,,,RB,PIT,vs CAR,8th,27.00,16000,12.2,35.2,9.2,1.2,23.7,0,0,0,21.43,21.43,100,,13,1.3,13.80,0.9
Drew Brees,,,QB,NO,@ CIN,18th,29.75,16000,15,35.7,8.3,17.5,22.7,0,0,0,23.27,23.27,100,,57,1.5,28.90,1.8
Alvin Kamara,,,RB,NO,@ CIN,26th,29.75,16000,11.8,36.5,9.9,17.2,24.2,0,0,0,21.69,21.69,100,,43,1.4,24.20,1.5
Jared Goff,,,QB,LAR,vs SEA,9th,30.00,16000,14.5,35.3,8.3,17.3,22.3,0,0,0,22.83,22.83,100,,48,1.4,21.02,1.3
Dak Prescott,,,QB,DAL,@ PHI,10th,19.25,16000,11.5,33.3,8.7,17.1,16.5,0,0,0,20.20,20.20,100,,53,1.3,21.70,1.4
Ben Roethlisberger,,,QB,PIT,vs CAR,20th,27.00,15500,14.4,34.6,8.1,19.5,22.3,0,0,0,22.46,22.46,100,,57,1.4,35.82,2.3
Ezekiel Elliott,,,RB,DAL,@ PHI,4th,19.25,15500,10.6,30.9,8.1,19,15.9,0,0,0,18.70,18.70,100,,53,1.2,33.70,2.2
Andy Dalton,,,QB,CIN,vs NO,26th,23.75,15000,13.3,32,7.5,13.9,18.5,0,0,0,20.76,20.76,100,,50,1.4,8.92,0.6
Josh McCown,,,QB,NYJ,vs BUF,2nd,22.50,15000,4.8,28.3,9.4,16.5,,0,0,0,14.19,14.19,100,,24,0.9,3.80,0.3
Odell Beckham Jr.,,,WR,NYG,@ SF,16th,21.00,15000,11.6,32.4,8.3,15.4,15.8,0,0,0,19.91,19.91,100,,42,1.3,21.30,1.4
Nick Mullens,,,QB,SF,vs NYG,5th,24.00,15000,9.7,27.9,7.3,,22.2,0,0,0,16.96,16.96,100,,32,1.1,12.10,0.8
Christian McCaffrey,,,RB,CAR,@ PIT,3rd,24.00,14500,7.2,32,9.9,12.3,17.6,0,0,0,17.11,17.11,100,,47,1.2,34.30,2.4
Antonio Brown,,,WR,PIT,vs CAR,7th,27.00,14500,10.2,35,9.9,19.2,17.4,0,0,0,20.10,20.10,100,,41,1.4,18.60,1.3
Russell Wilson,,,QB,SEA,@ LAR,11th,21.00,14500,13.9,34.1,8.1,22.4,18.6,0,0,0,21.96,21.96,100,,59,1.5,26.24,1.8
Zach Ertz,,,TE,PHI,vs DAL,21st,26.25,14500,7.1,24.4,6.9,11.7,14.1,0,0,0,14.00,14.00,100,,30,1,33.50,2.3
Michael Thomas,,,WR,NO,@ CIN,13th,29.75,14000,11.9,31.9,8.0,13.8,18.6,0,0,0,19.90,19.90,100,,42,1.4,23.00,1.6
Eli Manning,,,QB,NYG,@ SF,21st,21.00,14000,11.5,29.5,7.2,13.4,15.4,0,0,0,18.72,18.72,100,,52,1.3,19.52,1.4
Joe Mixon,,,RB,CIN,vs NO,10th,23.75,13500,9.3,29.3,8.0,9,17,0,0,0,17.25,17.25,100,,31,1.3,9.50,0.7
Isaiah Crowell,,,RB,NYJ,vs BUF,16th,22.50,13500,4.9,21.4,6.6,8.1,10.9,0,0,0,11.46,11.46,100,,27,0.8,10.70,0.8
LeSean McCoy,,,RB,BUF,@ NYJ,20th,15.50,13500,2.5,23,8.2,14.6,7.1,0,0,0,10.69,10.69,100,,27,0.8,24.30,1.8
George Kittle,,,TE,SF,vs NYG,6th,24.00,13500,5.1,23.1,7.2,5.7,12.2,0,0,0,12.31,12.31,100,,27,0.9,12.80,0.9
Tyler Boyd,,,WR,CIN,vs NO,32nd,23.75,13000,9.2,25.7,6.6,4.6,14.6,0,0,0,15.81,15.81,100,,22,1.2,8.00,0.6
A.J. Green,,,WR,CIN,vs NO,32nd,23.75,13000,0,12.5,8.3,11.8,15.7,0,0,0,0.00,0.00,100,,25,0,,
Brandin Cooks,,,WR,LAR,vs SEA,12th,30.00,13000,8.4,27.9,7.8,11,14.7,0,0,0,16.23,16.23,100,,33,1.2,21.90,1.7
Alshon Jeffery,,,WR,PHI,vs DAL,4th,26.25,13000,5.4,22.2,6.7,11.2,14.5,0,0,0,12.14,12.14,100,,37,0.9,6.80,0.5
JuJu Smith-Schuster,,,WR,PIT,vs CAR,7th,27.00,12500,7.4,26.4,7.6,11.8,13.5,0,0,0,15.02,15.02,100,,33,1.2,17.80,1.4
Cooper Kupp,,,WR,LAR,vs SEA,12th,30.00,12500,8,26.8,7.5,10.2,15.5,0,0,0,15.54,15.54,100,,40,1.2,6.40,0.5
Elijah McGuire,,,RB,NYJ,vs BUF,16th,22.50,12500,3.7,18.7,6.0,4.5,8.2,0,0,0,9.68,9.68,100,,0,0.8,7.20,0.6
Robert Woods,,,WR,LAR,vs SEA,12th,30.00,12000,9.4,26.4,6.8,11.8,14.1,0,0,0,16.24,16.24,100,,36,1.4,12.60,1.1
Jason Myers,,,K,NYJ,vs BUF,21st,22.50,12000,1.7,12.5,4.3,8.8,10.1,0,0,0,6.00,6.00,100,,47,0.5,6.00,0.5
Greg Olsen,,,TE,CAR,@ PIT,16th,24.00,11500,3.9,20.6,6.7,6.8,9.8,0,0,0,10.58,10.58,100,,17,0.9,6.00,0.5
Amari Cooper,,,WR,DAL,@ PHI,27th,19.25,11500,1.1,23.8,9.1,9.6,8.6,0,0,0,10.15,10.15,100,,20,0.9,10.50,0.9
Steven Hauschka,,,K,BUF,@ NYJ,22nd,15.50,11500,1.8,12.3,4.2,8.2,7.3,0,0,0,6.00,6.00,100,,46,0.5,13.00,1.1
Mark Ingram,,,RB,NO,@ CIN,26th,29.75,11000,5.7,25.4,7.9,14.2,9.6,0,0,0,13.57,13.57,100,,34,1.2,23.70,2.2
Chris Carson,,,RB,SEA,@ LAR,15th,21.00,11000,0,9.8,6.5,9.1,10.2,0,0,0,0.00,0.00,100,,47,0,,
Chris Herndon,,,TE,NYJ,vs BUF,12th,22.50,11000,0.9,12.9,4.8,,6.9,0,0,0,5.67,5.67,100,,4,0.5,4.90,0.4
Sterling Shepard,,,WR,NYG,@ SF,16th,21.00,11000,5.6,20.9,6.1,10.5,11,0,0,0,11.74,11.74,100,,39,1.1,10.60,1
Devin Funchess,,,WR,CAR,@ PIT,18th,24.00,10500,5.9,19.9,5.6,10.2,10.1,0,0,0,11.48,11.48,100,,16,1.1,4.70,0.4
Giovani Bernard,,,RB,CIN,vs NO,10th,23.75,10500,0.8,15.8,6.0,8.1,12.1,0,0,0,6.75,6.75,100,,14,0.6,4.60,0.4
Doug Baldwin,,,WR,SEA,@ LAR,10th,21.00,10500,4.1,24.1,8.0,11.7,5.4,0,0,0,12.10,12.10,100,,34,1.2,6.40,0.6
Golden Tate,,,WR,PHI,vs DAL,4th,26.25,10500,6.8,23,6.5,11.2,13.7,0,0,0,13.25,13.25,100,,32,1.3,2.90,0.3
