Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2017 Avg,2018 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Todd Gurley,,,RB,LAR,@ SF,14th,29.75,19000,15.2,38.7,9.4,22.8,27.6,0,0,0,24.56,24.56,100,,40,1.3,28.60,1.5
Patrick Mahomes,,,QB,KC,vs CIN,14th,31.25,18500,14.2,38.4,9.7,11.4,27,0,0,0,23.86,23.86,100,,55,1.3,33.82,1.8
Melvin Gordon,,,RB,LAC,vs TEN,7th,26.00,17000,0,12.5,8.3,16.2,24.6,0,0,0,0.00,0.00,100,,39,0,,
Saquon Barkley,,,RB,NYG,@ ATL,24th,24.00,17000,12.3,36.8,9.8,,22.9,0,0,0,22.05,22.05,100,,42,1.3,21.90,1.3
Tom Brady,,,QB,NE,@ CHI,20th,25.75,16500,13.7,32.9,7.7,20,19.9,0,0,0,21.35,21.35,100,,60,1.3,22.68,1.4
Philip Rivers,,,QB,LAC,vs TEN,5th,26.00,16000,13.1,28.6,6.2,17.5,21.5,0,0,0,19.34,19.34,100,,63,1.2,20.14,1.3
Mitchell Trubisky,,,QB,CHI,vs NE,22nd,23.75,16000,11.2,34.2,9.2,11.8,21.8,0,0,0,20.35,20.35,100,,34,1.3,33.42,2.1
Kirk Cousins,,,QB,MIN,@ NYJ,21st,24.00,16000,13.8,33.8,8.0,18.2,21.6,0,0,0,21.84,21.84,100,,54,1.4,17.54,1.1
Matt Ryan,,,QB,ATL,vs NYG,29th,28.00,16000,15.1,35.1,8.0,14.8,25.5,0,0,0,23.12,23.12,100,,55,1.4,19.26,1.2
Andy Dalton,,,QB,CIN,@ KC,26th,25.25,15500,13.3,32,7.5,13.9,19.8,0,0,0,20.79,20.79,100,,50,1.3,8.92,0.6
Adam Thielen,,,WR,MIN,@ NYJ,23rd,24.00,15500,9.6,30.6,8.4,11.6,20.7,0,0,0,18.01,18.01,100,,24,1.2,21.50,1.4
Case Keenum,,,QB,DEN,@ ARI,7th,21.50,15000,9.7,27.7,7.2,16.3,15.9,0,0,0,16.91,16.91,100,,40,1.1,9.84,0.7
David Johnson,,,RB,ARI,vs DEN,31st,20.50,15000,6.5,30.3,9.5,10.1,13.9,0,0,0,16.01,16.01,100,,29,1.1,8.50,0.6
Sony Michel,,,RB,NE,@ CHI,5th,25.75,15000,7.7,25.9,7.3,,13.5,0,0,0,14.98,14.98,100,,27,1,2.00,0.1
Jared Goff,,,QB,LAR,@ SF,11th,29.75,15000,13,33.8,8.3,17.3,21.2,0,0,0,21.31,21.31,100,,48,1.4,16.48,1.1
Emmanuel Sanders,,,WR,DEN,@ ARI,3rd,21.50,14500,6.3,24.8,7.4,7.6,15.6,0,0,0,13.66,13.66,100,,26,0.9,24.32,1.7
Keenan Allen,,,WR,LAC,vs TEN,13th,26.00,14000,6.8,26.1,7.7,14.2,11.7,0,0,0,14.51,14.51,100,,43,1,9.70,0.7
James White,,,RB,NE,@ CHI,5th,25.75,14000,7.5,23.5,6.4,8.7,16,0,0,0,13.85,13.85,100,,30,1,25.70,1.8
C.J. Beathard,,,QB,SF,vs LAR,13th,21.75,14000,12.1,28.3,6.5,15.8,20.5,0,0,0,18.59,18.59,100,,42,1.3,8.10,0.6
Kareem Hunt,,,RB,KC,vs CIN,27th,31.25,14000,8.3,30.3,8.8,16.5,17.3,0,0,0,17.08,17.08,100,,35,1.2,34.60,2.5
Julio Jones,,,WR,ATL,vs NYG,30th,28.00,14000,10.5,32.3,8.7,13.5,15.7,0,0,0,19.21,19.21,100,,44,1.4,12.90,0.9
Marcus Mariota,,,QB,TEN,@ LAC,23rd,20.00,13500,6.6,29.6,9.2,16.1,11.3,0,0,0,15.81,15.81,100,,37,1.2,16.28,1.2
Robert Woods,,,WR,LAR,@ SF,9th,29.75,13500,8.3,25.3,6.8,11.8,16.1,0,0,0,15.14,15.14,100,,36,1.1,10.90,0.8
Sam Darnold,,,QB,NYJ,vs MIN,9th,21.00,13500,5.6,23.3,7.1,,14.2,0,0,0,12.69,12.69,100,,47,0.9,15.04,1.1
Stefon Diggs,,,WR,MIN,@ NYJ,23rd,24.00,13500,6.3,26.3,8.0,12.5,14.6,0,0,0,14.25,14.25,100,,35,1.1,6.60,0.5
Odell Beckham Jr.,,,WR,NYG,@ ATL,22nd,24.00,13500,8.8,29.6,8.3,15.4,14,0,0,0,17.10,17.10,100,,42,1.3,24.20,1.8
Josh Rosen,,,QB,ARI,vs DEN,12th,20.50,13000,9,21.3,4.9,,8.3,0,0,0,13.94,13.94,100,,31,1.1,6.16,0.5
Tarik Cohen,,,RB,CHI,vs NE,1st,23.75,13000,6.9,22.4,6.2,7.7,12.7,0,0,0,13.07,13.07,100,,26,1,18.30,1.4
Cooper Kupp,,,WR,LAR,@ SF,9th,29.75,13000,0,11.3,7.5,10.2,15.2,0,0,0,0.00,0.00,100,,40,0,,
Joe Mixon,,,RB,CIN,@ KC,16th,25.25,13000,8.7,28.7,8.0,9,17,0,0,0,16.73,16.73,100,,31,1.3,6.60,0.5
A.J. Green,,,WR,CIN,@ KC,15th,25.25,13000,7.7,28.4,8.3,11.8,15.7,0,0,0,15.97,15.97,100,,25,1.2,15.20,1.2
Tyreek Hill,,,WR,KC,vs CIN,6th,31.25,13000,8.2,32.2,9.6,13.9,19.9,0,0,0,17.80,17.80,100,,33,1.4,17.10,1.3
Eli Manning,,,QB,NYG,@ ATL,24th,24.00,13000,11.4,29.4,7.2,13.4,14.6,0,0,0,18.56,18.56,100,,52,1.4,20.66,1.6
