Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2017 Avg,2018 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Tom Brady,,,QB,NE,@ DET,24th,31.00,17500,14.6,33.9,7.7,20,19.3,0,0,0,22.31,22.31,100,,60,1.3,8.52,0.5
Tyrod Taylor,,,QB,CLE,vs NYJ,7th,22.00,16000,8.5,31,9.0,14.6,20,0,0,0,17.46,17.46,100,,34,1.1,2.96,0.2
Ben Roethlisberger,,,QB,PIT,@ TB,18th,27.00,16000,11.7,31.9,8.1,19.5,25.5,0,0,0,19.77,19.77,100,,57,1.2,25.02,1.6
Matthew Stafford,,,QB,DET,vs NE,15th,24.00,15500,12.5,30,7.0,17.7,18.4,0,0,0,19.46,19.46,100,,59,1.3,18.48,1.2
Ryan Fitzpatrick,,,QB,TB,vs PIT,30th,28.00,15500,10,33.5,9.4,12.8,36.6,0,0,0,19.40,19.40,100,,35,1.3,28.14,1.8
Sam Darnold,,,QB,NYJ,@ CLE,6th,19.00,15000,7,24.8,7.1,,15.1,0,0,0,14.13,14.13,100,,47,0.9,4.76,0.3
Antonio Brown,,,WR,PIT,@ TB,24th,27.00,15000,9.5,34.2,9.9,19.2,15.5,0,0,0,19.35,19.35,100,,41,1.3,14.00,0.9
Jarvis Landry,,,WR,CLE,vs NYJ,13th,22.00,14500,5.7,21.2,6.2,12.8,11.8,0,0,0,11.92,11.92,100,,46,0.8,16.30,1.1
Rob Gronkowski,,,TE,NE,@ DET,26th,31.00,14500,5.5,25.7,8.1,15,11.2,0,0,0,13.55,13.55,100,,28,0.9,7.10,0.5
Quincy Enunwa,,,WR,NYJ,@ CLE,7th,19.00,14000,4.2,17.2,5.2,,14,0,0,0,9.42,9.42,100,,16,0.7,7.70,0.6
James Conner,,,RB,PIT,@ TB,29th,27.00,14000,6.2,29.2,9.2,1.2,24.4,0,0,0,15.35,15.35,100,,13,1.1,12.00,0.9
Golden Tate,,,WR,DET,vs NE,15th,24.00,13500,4.9,21.2,6.5,11.2,16.4,0,0,0,11.44,11.44,100,,32,0.8,9.90,0.7
Mike Evans,,,WR,TB,vs PIT,32nd,28.00,13000,4.9,25.4,8.2,11.2,20.8,0,0,0,13.12,13.12,100,,37,1,22.70,1.7
Bilal Powell,,,RB,NYJ,@ CLE,27th,19.00,12500,2.1,19.6,7.0,8.9,11.8,0,0,0,9.08,9.08,100,,14,0.7,7.30,0.6
Chris Hogan,,,WR,NE,@ DET,8th,31.00,12500,3.7,20.4,6.7,10.4,9.7,0,0,0,10.39,10.39,100,,0,0.8,4.60,0.4
JuJu Smith-Schuster,,,WR,PIT,@ TB,24th,27.00,12500,5.4,24.4,7.6,11.8,19.5,0,0,0,13.03,13.03,100,,33,1,16.10,1.3
Carlos Hyde,,,RB,CLE,vs NYJ,19th,22.00,12000,3.8,21.1,6.9,12.8,12.3,0,0,0,10.70,10.70,100,,26,0.9,23.30,1.9
Marvin Jones,,,WR,DET,vs NE,15th,24.00,12000,3,21.7,7.5,12.2,10.4,0,0,0,10.47,10.47,100,,29,0.9,14.90,1.2
Kenny Golladay,,,WR,DET,vs NE,15th,24.00,12000,3.4,20.7,6.9,7.3,16.4,0,0,0,10.33,10.33,100,,33,0.9,14.30,1.2
Isaiah Crowell,,,RB,NYJ,@ CLE,27th,19.00,11500,2.1,18.6,6.6,8.1,13.6,0,0,0,8.73,8.73,100,,27,0.8,18.10,1.6
James White,,,RB,NE,@ DET,31st,31.00,11500,3.8,19.8,6.4,8.7,12.8,0,0,0,10.19,10.19,100,,30,0.9,12.60,1.1
DeSean Jackson,,,WR,TB,vs PIT,32nd,28.00,11500,2.7,19.5,6.7,8.1,25,0,0,0,9.42,9.42,100,,26,0.8,5.20,0.5
Robby Anderson,,,WR,NYJ,@ CLE,7th,19.00,10500,1.9,18.4,6.6,10.5,6,0,0,0,8.50,8.50,100,,22,0.8,1.20,0.1
Terrelle Pryor,,,WR,NYJ,@ CLE,7th,19.00,10500,0,15.5,6.6,5,8.4,0,0,0,5.58,5.58,100,,10,0.5,3.00,0.3
Phillip Dorsett,,,WR,NE,@ DET,8th,31.00,10500,2.8,14.5,4.7,2.9,11.5,0,0,0,7.49,7.49,100,,6,0.7,0.00,
Jason Myers,,,K,NYJ,@ CLE,7th,19.00,10000,2.5,13.2,4.3,8.8,10.5,0,0,0,6.75,6.75,100,,47,0.7,5.00,0.5
Josh Gordon,,,WR,NE,@ DET,8th,31.00,10000,0,7.4,4.9,9.7,8.2,0,0,0,0.00,0.00,100,,40,0,,
Stephen Gostkowski,,,K,NE,@ DET,18th,31.00,10000,3.4,14.7,4.5,10.2,9,0,0,0,7.90,7.90,100,,52,0.8,4.00,0.4
Chris Godwin,,,WR,TB,vs PIT,32nd,28.00,10000,0.6,20.4,7.9,5,12.9,0,0,0,8.52,8.52,100,,25,0.9,13.90,1.4
Antonio Callaway,,,WR,CLE,vs NYJ,13th,22.00,9500,1.7,15.2,5.4,,8.2,0,0,0,7.08,7.08,100,,0,0.7,4.00,0.4
Kerryon Johnson,,,RB,DET,vs NE,2nd,24.00,9500,2.9,16.6,5.5,,7.2,0,0,0,8.39,8.39,100,,29,0.9,12.00,1.3
Matt Prater,,,K,DET,vs NE,12th,24.00,9500,2.2,13.2,4.4,9.4,7.5,0,0,0,6.60,6.60,100,,46,0.7,14.00,1.5
David Njoku,,,TE,CLE,vs NYJ,14th,22.00,9000,1.9,13.9,4.8,4.9,3.4,0,0,0,6.68,6.68,100,,13,0.7,4.60,0.5
Sony Michel,,,RB,NE,@ DET,31st,31.00,9000,0.6,18.8,7.3,,4.6,0,0,0,7.88,7.88,100,,27,0.9,5.40,0.6
O.J. Howard,,,TE,TB,vs PIT,3rd,28.00,9000,1.4,15.7,5.7,6.8,11.8,0,0,0,7.13,7.13,100,,12,0.8,10.20,1.1
Chris Boswell,,,K,PIT,@ TB,13th,27.00,9000,3,14.3,4.5,9.7,3,0,0,0,7.50,7.50,100,,45,0.8,6.00,0.7
Duke Johnson,,,RB,CLE,vs NYJ,19th,22.00,8500,1.6,14.3,5.1,11.2,2.5,0,0,0,6.69,6.69,100,,35,0.8,4.30,0.5
Greg Joseph,,,K,CLE,vs NYJ,8th,22.00,8500,3.5,9.8,2.5,,,0,0,0,6.00,6.00,100,,58,0.7,8.00,0.9
Rex Burkhead,,,RB,NE,@ DET,31st,31.00,8500,1.7,18.2,6.6,10.2,4.8,0,0,0,8.26,8.26,100,,0,1,3.60,0.4
Peyton Barber,,,RB,TB,vs PIT,25th,28.00,8500,4.4,16.9,5.0,7.1,5.2,0,0,0,9.39,9.39,100,,15,1.1,3.30,0.4
Jesse James,,,TE,PIT,@ TB,13th,27.00,8500,1.8,12.1,4.1,5.2,14.9,0,0,0,5.94,5.94,100,,0,0.7,1.20,0.1
Chandler Catanzaro,,,K,TB,vs PIT,2nd,28.00,8500,3.1,12.4,3.7,8,7.5,0,0,0,6.80,6.80,100,,50,0.8,9.00,1.1
Nick Chubb,,,RB,CLE,vs NYJ,19th,22.00,8000,0,15.2,8.7,,1.8,0,0,0,2.14,2.14,100,,35,0.3,0.60,0.1
Theo Riddick,,,RB,DET,vs NE,2nd,24.00,8000,2.2,15.7,5.4,8,7.6,0,0,0,7.59,7.59,100,,33,0.9,5.10,0.6
Le'Veon Bell,,,RB,PIT,@ TB,29th,27.00,8000,0,14.3,9.5,20.7,,0,0,0,0.00,0.00,100,,40,0,,
Rashard Higgins,,,WR,CLE,vs NYJ,13th,22.00,7500,0,13.2,5.3,3.9,5.8,0,0,0,5.25,5.25,100,,0,0.7,4.70,0.6
Jermaine Kearse,,,WR,NYJ,@ CLE,7th,19.00,7000,0,12.4,5.9,9,0.4,0,0,0,3.52,3.52,100,,11,0.5,5.00,0.7
Vance McDonald,,,TE,PIT,@ TB,13th,27.00,7000,0,12.1,4.9,4.4,4.1,0,0,0,4.78,4.78,100,,0,0.7,19.20,2.7
Zane Gonzalez,,,K,CLE,vs NYJ,8th,22.00,6500,0,5.9,3.9,4.9,4.5,0,0,0,0.00,0.00,100,,42,0,,
De'Angelo Henderson,,,RB,NYJ,@ CLE,27th,19.00,6500,0,7.1,4.7,4,,0,0,0,0.00,0.00,100,,0,0,,
Andre Roberts,,,WR,NYJ,@ CLE,7th,19.00,6500,0,3.6,2.4,0,3.1,0,0,0,0.00,0.00,100,,0,0,0.00,
LeGarrette Blount,,,RB,DET,vs NE,2nd,24.00,6500,0,15.8,7.0,7.1,1.9,0,0,0,5.26,5.26,100,,17,0.8,7.50,1.2
James Washington,,,WR,PIT,@ TB,24th,27.00,6500,0.6,15.4,5.9,,7.9,0,0,0,6.50,6.50,100,,0,1,3.50,0.5
Ronald Jones,,,RB,TB,vs PIT,25th,28.00,6500,0,9.8,6.5,,,0,0,0,0.00,0.00,100,,19,0,,
Jordan Leggett,,,TE,NYJ,@ CLE,15th,19.00,6000,0,3.2,2.1,,,0,0,0,0.00,0.00,100,,0,0,0.00,
Dontrell Hilliard,,,RB,CLE,vs NYJ,19th,22.00,6000,0,4.7,3.1,,,0,0,0,0.00,0.00,100,,0,0,,
Pharoah McKever,,,TE,CLE,vs NYJ,14th,22.00,6000,0,0.8,0.5,,,0,0,0,0.00,0.00,100,,38,0,,
Da'Mari Scott,,,WR,CLE,vs NYJ,13th,22.00,6000,0,2.6,1.7,,,0,0,0,0.00,0.00,100,,0,0,,
Trenton Cannon,,,RB,NYJ,@ CLE,27th,19.00,6000,0,3.8,2.5,,2.6,0,0,0,0.00,0.00,100,,0,0,,
Josh McCown,,,QB,NYJ,@ CLE,6th,19.00,6000,0,14.1,9.4,16.5,,0,0,0,0.00,0.00,100,,24,0,,
Darren Fells,,,TE,CLE,vs NYJ,14th,22.00,6000,0,8.8,4.7,3.2,2.1,0,0,0,1.75,1.75,100,,0,0.3,,
Orson Charles,,,TE,CLE,vs NYJ,14th,22.00,6000,0,2,1.3,2.1,,0,0,0,0.00,0.00,100,,0,0,0.00,
Chris Herndon,,,TE,NYJ,@ CLE,15th,19.00,6000,0,10.9,4.8,,4,0,0,0,3.68,3.68,100,,4,0.6,0.90,0.2
Derrick Willies,,,WR,CLE,vs NYJ,13th,22.00,6000,0,3.9,2.6,,,0,0,0,0.00,0.00,100,,0,0,,
Deontay Burnett,,,WR,NYJ,@ CLE,7th,19.00,6000,0,4.2,2.8,,,0,0,0,0.00,0.00,100,,24,0,,
Charone Peake,,,WR,NYJ,@ CLE,7th,19.00,6000,0,3.9,2.6,0.8,,0,0,0,0.00,0.00,100,,4,0,,
