Name1,Name2,Name3,Name4,Name5,Name1Team,Name2Team,Name3Team,Name4Team,Name5Team,Name1Position,Name2Position,Name3Position,Name4Position,Name5Position,Salary,FPPG,p_id1,p_id2,p_id3,p_id4,p_id5
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Dan Arnold,Mark Ingram II,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,TE1,RB1,58000,90.58000087738036,64289-55050,64289-63589,64289-82731,64289-80546,64289-14211
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Anthony Miller,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,WR3,K,54000,90.43294177335852,64289-55050,64289-63589,64289-82731,64289-41936,64289-56378
Christian McCaffrey,Brandon Zylstra,Zane Gonzalez,Davis Mills,Brandin Cooks,CAR,CAR,CAR,HOU,HOU,RB1,WR4,K,QB,WR1,59000,90.28000116348268,64289-55050,64289-82731,64289-39369,64289-89628,64289-29501
Christian McCaffrey,Sam Darnold,Robby Anderson,David Johnson,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,RB2,K,59500,90.13000106811523,64289-55050,64289-63589,64289-26251,64289-62497,64289-56378
Christian McCaffrey,Robby Anderson,Brandon Zylstra,Davis Mills,Brandin Cooks,CAR,CAR,CAR,HOU,HOU,RB1,WR2,WR4,QB,WR1,59500,90.03000116348267,64289-55050,64289-26251,64289-82731,64289-89628,64289-29501
Christian McCaffrey,Sam Darnold,Brandon Zylstra,David Johnson,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,RB2,WR3,53000,89.93294177335852,64289-55050,64289-63589,64289-82731,64289-62497,64289-41936
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Dan Arnold,Joey Slye,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,TE1,K,56000,89.58000087738037,64289-55050,64289-63589,64289-82731,64289-80546,64289-56378
Christian McCaffrey,Sam Darnold,DJ Moore,Dan Arnold,Anthony Miller,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR1,TE1,WR3,59500,89.48294196409338,64289-55050,64289-63589,64289-63043,64289-80546,64289-41936
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Dan Arnold,David Johnson,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,TE1,RB2,55000,89.08000087738037,64289-55050,64289-63589,64289-82731,64289-80546,64289-62497
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Mark Ingram II,Chris Conley,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,RB1,WR2,57500,89.03000068664551,64289-55050,64289-63589,64289-82731,64289-14211,64289-30403
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Davis Mills,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,QB,WR3,57000,88.91294179243201,64289-55050,64289-63589,64289-82731,64289-89628,64289-41936
Christian McCaffrey,Sam Darnold,Zane Gonzalez,Mark Ingram II,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,K,RB1,WR3,58500,88.53294215482825,64289-55050,64289-63589,64289-39369,64289-14211,64289-41936
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Zane Gonzalez,Chris Conley,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,K,WR2,56000,88.53000068664551,64289-55050,64289-63589,64289-82731,64289-39369,64289-30403
Christian McCaffrey,DJ Moore,Brandon Zylstra,Zane Gonzalez,Davis Mills,CAR,CAR,CAR,CAR,HOU,RB1,WR1,WR4,K,QB,60000,88.43000078201294,64289-55050,64289-63043,64289-82731,64289-39369,64289-89628
